Município (Código);Município;Lavouras - permanentes;Lavouras - temporárias;Lavouras - área para cultivo de flores;Pastagens - naturais;Pastagens - plantadas em boas condições;Pastagens - pastagens plantadas em más condições;Matas ou florestas - matas e/ou florestas naturais;Matas ou florestas - florestas plantadas;Sistemas agroflorestais - área cultivada com espécies florestais também usada para lavouras e pastoreio por animais;Soma
2206605;Monte Alegre do Piauí (PI);215,5;23895,8;X;16034;16648,5;8074;18697,4;X;39940,9;123506,1
2206654;Morro Cabeça no Tempo (PI);X;2797,5;X;3221,6;1814;2848,3;685;-;19941,8;31308,2
2206670;Morro do Chapéu do Piauí (PI);203,4;978,5;X;X;1774,1;449,9;4820,8;X;3475,4;11702,1
2206696;Murici dos Portelas (PI);413,8;987,6;X;238,1;289,1;164;X;-;1462,9;3555,5
2206704;Nazaré do Piauí (PI);140,9;1755,9;-;12988,6;766,8;974,2;897;-;5058,6;22582
2206720;Nazária (PI);1190,1;1215,6;X;2214;966,7;193;X;X;1104,1;6883,5
2206753;Nossa Senhora de Nazaré (PI);135,7;477,2;X;8795,6;103,9;X;2224;-;303,8;12040,2
2206803;Nossa Senhora dos Remédios (PI);34,2;546,7;X;2304,9;1504,9;456,6;890,8;-;3529,6;9267,7
2206902;Novo Oriente do Piauí (PI);184,1;1927,7;-;5722;5107;987,7;5800,5;-;3985;23714
2206951;Novo Santo Antônio (PI);X;73,4;-;-;6,7;696,5;20069;-;X;20845,6
2207009;Oeiras (PI);1254,7;8184,8;1,6;9893,3;1362;1369,7;43810;X;X;65876,1
2207108;Olho D'Água do Piauí (PI);87,2;788,9;-;950,2;1846,9;133,9;1562,4;-;971,3;6340,8
2207207;Padre Marcos (PI);185,2;3815;X;6881;X;320;390;X;1246,9;12838,1
2207306;Paes Landim (PI);55,2;1477,4;-;2604,1;4439,8;2309,2;41,2;22,8;3703,5;14653,2
2207355;Pajeú do Piauí (PI);106,2;1745,3;-;658,5;805,1;69,8;59,4;-;26351,1;29795,4
2207405;Palmeira do Piauí (PI);2413,2;15249,9;X;9642,9;4210;621,3;5476,5;X;14159,3;51773,1
2207504;Palmeirais (PI);125,9;2300,1;X;3505,3;2248,7;1003,1;X;1041,5;5903,4;16128
2207553;Paquetá (PI);239,6;1630,7;-;4556,1;1186,8;673,1;930,7;-;681,6;9898,6
2207603;Parnaguá (PI);52,2;4165;X;29509,5;40459,5;8568,5;42592,3;X;56525,2;181872,2
2207702;Parnaíba (PI);1075;541,8;X;1050,3;565,8;219,4;659,2;X;880,1;4991,6
2207751;Passagem Franca do Piauí (PI);188,8;647,8;-;4227,2;1692,3;X;4806,5;X;10681,4;22244
2207777;Patos do Piauí (PI);320,2;2786,7;X;8295,1;537,6;1392,9;1115,9;X;11312,6;25761
2207793;Pau D'Arco do Piauí (PI);375,2;571,2;X;3537,7;301,2;228,5;64,5;X;1099,5;6177,8
2207801;Paulistana (PI);319,1;4728;4,2;9747,2;6895,3;8311,5;14041,4;90,8;31105;75242,5
2207850;Pavussu (PI);95,8;2221,9;-;1529,9;620,3;186,5;2610,8;-;5753,6;13018,8
2207900;Pedro II (PI);997,2;3300,1;X;1719,5;240,1;68,6;17161;X;10232,7;33719,2
2207934;Pedro Laurentino (PI);151,8;411,7;X;10935,9;1024,8;1090,1;3461,6;X;5367,3;22443,2
2207959;Nova Santa Rita (PI);X;2278,1;X;822,3;1013;378,3;2924,2;X;15579,8;22995,7
2208007;Picos (PI);470,2;4709,4;X;3808,8;794;626,6;2282,7;-;3979,7;16671,4
2208106;Pimenteiras (PI);2048,5;3739,1;X;11303,7;699,6;4961,1;9071,7;X;106096,1;137919,8
2208205;Pio IX (PI);27189,1;7900,1;X;23410,6;561,9;6590,7;31550,3;X;49454,2;146656,9
2208304;Piracuruca (PI);2618,6;9494;X;14159,9;4587,5;2121,9;32209,8;X;18023,1;83214,8
2208403;Piripiri (PI);1404,1;4441,6;X;8381;1866,7;1947,4;7714,3;X;16523,6;42278,7
2208502;Porto (PI);62,1;530,1;-;369,2;763,1;X;775,1;-;1821,9;4321,5
2208551;Porto Alegre do Piauí (PI);15,8;229,9;X;5960,5;1101,8;X;-;-;X;7308
2208601;Prata do Piauí (PI);16,9;256,9;X;1347;178,5;13,5;X;-;4687,7;6500,5
2208650;Queimada Nova (PI);273,7;4687,7;-;1777,5;6146,2;3206,3;1214,6;62,5;39722,1;57090,6
2208700;Redenção do Gurguéia (PI);31,2;3810,7;-;8001,1;8827,6;512;X;X;25105,1;46287,7
2208809;Regeneração (PI);91,7;10533,9;X;3289,8;1035,6;2682,7;1258;X;3484;22375,7
2208858;Riacho Frio (PI);X;1591,1;X;12855,3;10002,9;2201,4;7206,1;-;12362,1;46218,9
2208874;Ribeira do Piauí (PI);14,1;243,7;-;4488,4;242;X;X;-;14589,9;19578,1
2208908;Ribeiro Gonçalves (PI);5004;80629,7;X;34158,1;6157,4;1906,6;27238,9;X;X;155094,7
2209005;Rio Grande do Piauí (PI);193,4;6288,8;-;1353,3;2232,7;666,5;11171,9;-;12947,4;34854
2209104;Santa Cruz do Piauí (PI);173;2300,4;-;5948,9;110,8;192,6;6644;-;-;15369,7
2209153;Santa Cruz dos Milagres (PI);525;299,9;-;57834,7;5929,9;X;-;-;X;64589,5
2209203;Santa Filomena (PI);1955,6;77841,8;X;4990,2;8790,2;742,7;60849,1;X;8072,9;163242,5
2209302;Santa Luz (PI);X;1839;X;1525,2;10173,4;1120,9;13284,1;-;2041,1;29983,7
2209351;Santana do Piauí (PI);124,1;669,7;-;96,5;18,4;119,4;90,9;-;1286,9;2405,9
2209377;Santa Rosa do Piauí (PI);X;2506,5;X;9110,8;1049,9;400,5;1357,9;-;-;14425,6
2209401;Santo Antônio de Lisboa (PI);3537,9;676,6;X;2006,9;277,9;976,5;2759,6;-;X;10235,4
2209450;Santo Antônio dos Milagres (PI);39,5;203,9;X;X;105;81,3;43,7;-;294,2;767,6
2209500;Santo Inácio do Piauí (PI);355,9;1722;X;17378,7;806,1;892,3;5634,9;X;5193;31982,9
2209559;São Braz do Piauí (PI);189,9;3982,7;X;X;296,8;322;92,3;-;9099,5;13983,2
2209609;São Félix do Piauí (PI);24,5;566,4;X;1155,1;2609,8;253,8;244,9;X;22760,5;27615
2209658;São Francisco de Assis do Piauí (PI);90,1;1951,4;-;16733,6;1354,1;2109,3;567,1;-;19964,9;42770,5
2209708;São Francisco do Piauí (PI);92,7;5066,8;-;10885,5;1523,6;2919,4;5318,8;-;1711,2;27518
2209757;São Gonçalo do Gurguéia (PI);41,8;3454,5;-;2819;3227,2;115,7;3229,1;X;X;12887,3
2209807;São Gonçalo do Piauí (PI);248,1;1686;X;X;778,7;742;374,4;X;650,9;4480,1
2209856;São João da Canabrava (PI);290,4;822,4;66,4;366;108;19,1;99,5;-;2626,9;4398,7
2209872;São João da Fronteira (PI);237,8;381,4;-;5398,4;X;425,1;2505,8;X;16967,7;25916,2
2209906;São João da Serra (PI);24,1;427,9;-;-;277,4;1028,6;63009;-;23,6;64790,6
2209955;São João da Varjota (PI);183,1;1093,6;-;529,6;X;215;4712,1;-;X;6733,4
2209971;São João do Arraial (PI);74,9;711,7;X;519,2;448,4;399,6;2462,4;X;2210,5;6826,7
2210003;São João do Piauí (PI);X;1903,7;X;8697;1204,3;420,5;1020,6;-;21296,3;34542,4
2210052;São José do Divino (PI);61,3;684,6;-;3340,5;3646,1;504,8;7238,7;-;990,3;16466,3
2210102;São José do Peixe (PI);X;3257,3;X;4279;105,3;176,8;X;-;5940,6;13759
2210201;São José do Piauí (PI);1418;5593,3;X;1455,7;214,8;651,2;2805,8;X;3693;15831,8
2210300;São Julião (PI);507,1;1404,5;-;2501,5;X;1811,2;X;-;5690,5;11914,8
2210359;São Lourenço do Piauí (PI);32,2;1404;X;4112,3;245,9;186,7;X;-;16657,3;22638,4
2210375;São Luis do Piauí (PI);X;737,2;X;263,3;62,7;537,7;2164,4;-;1795,1;5560,4
2210383;São Miguel da Baixa Grande (PI);19,1;1352,7;-;6968,9;960,3;X;X;-;5888;15189
2210391;São Miguel do Fidalgo (PI);X;1106,8;X;5882,8;1536,5;2836,9;X;-;270,6;11633,6
2210409;São Miguel do Tapuio (PI);884,5;21188,7;-;X;1115;8989,8;119950;1248,5;X;153376,5
2210508;São Pedro do Piauí (PI);192,6;4294,1;X;1565,8;3759;231,3;5437,2;X;4876,6;20356,6
2210607;São Raimundo Nonato (PI);975;7246,4;X;10466,1;715,5;868,4;15630,1;X;16916,8;52818,3
2210623;Sebastião Barros (PI);X;1883,6;X;8044,6;15789,5;3675,1;1291;-;16061;46744,8
2210631;Sebastião Leal (PI);20,5;55835,5;-;4761,7;3928,5;619;X;X;26270,1;91435,3
2210656;Sigefredo Pacheco (PI);556;1520,1;X;10691,8;1529,1;X;11184,5;-;15668,1;41149,6
2210706;Simões (PI);303,9;9626,9;X;8506,7;2783,2;6305;679,3;X;27651,3;55856,3
2210805;Simplício Mendes (PI);441,4;5765,1;X;10829,4;1064,6;1995,5;9170,3;X;36932,3;66198,6
2210904;Socorro do Piauí (PI);230;1627,9;X;4968,6;858,8;616,9;1627,5;X;2617,7;12547,4
2210938;Sussuapara (PI);213,1;1110,9;X;1186,3;119,4;380,5;X;-;1018,6;4028,8
2210953;Tamboril do Piauí (PI);51,3;2086,5;X;526,4;150,1;1102,4;6255,3;X;728,1;10900,1
2210979;Tanque do Piauí (PI);83,1;1538,1;-;374;823,3;X;7498,5;X;-;10317
2211001;Teresina (PI);3147,3;1138,3;3;4589;2043,3;67,2;180,1;181,8;1026,6;12376,6
2211100;União (PI);413;21954,7;100,6;6963,1;2164,9;1489,7;13684,3;465;4468,2;51703,5
2211209;Uruçuí (PI);2049,4;178116,2;0,7;34942,9;10154,6;2833,5;30486,2;2380,3;92718;353681,8
2211308;Valença do Piauí (PI);1465,9;2375,2;12,2;5011,3;1798,3;95,4;18773,3;-;11063,7;40595,3
2211357;Várzea Branca (PI);16,5;2865,8;X;61;409,3;258,9;X;-;15664,9;19276,4
2211407;Várzea Grande (PI);21,2;931;-;851;1211,9;520,8;66,4;-;2955,9;6558,2
2211506;Vera Mendes (PI);54,4;1785,3;-;2561,3;531,5;241,5;3684;-;2064,7;10922,7
2211605;Vila Nova do Piauí (PI);241,9;2105,8;X;1665,9;X;2861,1;901,1;-;3947,1;11722,9
2211704;Wall Ferraz (PI);355,1;2265,1;-;3097,3;204,5;77,2;6716,5;-;-;12715,7
2300101;Abaiara (CE);33,5;1883,1;X;1776,3;1423,2;457,1;1525,9;X;1306,3;8405,4
2300150;Acarape (CE);860,8;582,3;10,7;271,8;78,8;X;8,4;-;X;1812,8
2300200;Acaraú (CE);9586,4;2705,5;3,9;1524,7;104,1;349,7;2885,6;-;932,2;18092,1
2300309;Acopiara (CE);493,6;9754,2;-;24468,2;6162,1;11295,7;X;X;36305,5;88479,3
2300408;Aiuaba (CE);149,5;6004,4;-;33595,3;1690,3;4724,4;19735,1;-;55284,4;121183,4
2300507;Alcântaras (CE);178,9;1082,5;X;X;85,1;49,8;152,8;X;92,2;1641,3
2300606;Altaneira (CE);19,9;621,7;-;471,6;105,3;1147,6;569,8;-;353,1;3289
2300705;Alto Santo (CE);10055,8;4768,5;X;44935,5;3342,6;2949,8;2106,5;X;10519;78677,7
2300754;Amontada (CE);9000,4;3869;131;10699,5;509,1;1376,5;23048;53,5;320,7;49007,7
2300804;Antonina do Norte (CE);55,4;3939;-;3535,9;1028,4;946,1;722;-;2015,3;12242,1
2300903;Apuiarés (CE);197,9;1772;X;10226,3;864,8;209,6;1382,4;X;3464,5;18117,5
2301000;Aquiraz (CE);1691,4;730,5;13,1;679,1;227,7;7,9;12,4;-;151,5;3513,6
2301109;Aracati (CE);7616,3;3980,1;X;3933;84,2;1053,4;16890,8;X;1553,1;35110,9
2301208;Aracoiaba (CE);2808,2;7279,6;X;4814,4;768,4;978,6;1850,9;X;3319,7;21819,8
2301257;Ararendá (CE);289,4;4032,6;X;2630,9;128,8;340,8;7808,9;X;178,3;15409,7
2301307;Araripe (CE);127,1;4638,7;X;4971,2;X;3138,2;3470,2;X;17828,2;34173,6
2301406;Aratuba (CE);890,2;1540,8;5,9;342;75,6;176,8;175,9;-;167,4;3374,6
2301505;Arneiroz (CE);71,7;2627,9;X;38634,4;1574,3;9522,4;699,1;X;24458,3;77588,1
2301604;Assaré (CE);78,6;7802,6;-;2376,4;4901,7;4611,9;3480,6;-;22437,7;45689,5
2301703;Aurora (CE);85,1;4319;X;8274,1;7046,3;6020,8;7496,1;X;18650,6;51892
2301802;Baixio (CE);X;1031,2;X;3771,4;693,2;1706,6;1965,2;-;190,9;9358,5
2301851;Banabuiú (CE);358,4;2161,5;-;6084,6;584,6;53,8;X;X;34564,6;43807,5
2301901;Barbalha (CE);906,5;2570,8;5;2103,4;1824,7;268,7;359,5;24,3;657,2;8720,1
2301950;Barreira (CE);9829,5;2058,8;21,4;593;184,6;589,4;354,1;10,2;2062,4;15703,4
2302008;Barro (CE);88,4;1998,7;X;4051;1390,6;2232,2;967,5;X;4741,8;15470,2
2302057;Barroquinha (CE);278,4;544,7;-;71,1;8,6;171,7;219,5;-;-;1294
2302107;Baturité (CE);1506,5;2034;6,7;913,2;595,9;162;1557;35;227,3;7037,6
2302206;Beberibe (CE);30307,5;3365,4;X;5728,8;1170,7;1963,3;16962,8;X;16434,2;75932,7
2302305;Bela Cruz (CE);20986,6;2086;X;2760,8;250,2;X;9206;-;1332,9;36622,5
2302404;Boa Viagem (CE);227,3;15717,4;8,3;30541,3;930,7;3124,1;73590,6;X;X;124139,7
2302503;Brejo Santo (CE);185,8;4276,6;X;5115,6;5871,1;389,8;84,9;-;X;15923,8
2302602;Camocim (CE);3812,6;1166,2;X;192,2;28,6;X;626;X;-;5825,6
2302701;Campos Sales (CE);32,7;6466;X;3724,5;2637,5;3794,3;6598,8;X;5943,2;29197
2302800;Canindé (CE);427,8;10788,1;-;15024,3;838,9;3733,1;17077;X;19515,6;67404,8
2302909;Capistrano (CE);630,8;3595,2;X;1960,3;413,5;280,9;629,4;X;1450,7;8960,8
2303006;Caridade (CE);147,7;2231,9;-;4157,3;59,4;1267,4;6786,3;X;3457,3;18107,3
2303105;Cariré (CE);468,3;5462,6;-;5950,1;837,4;1243,3;X;-;1393,8;15355,5
2303204;Caririaçu (CE);244,9;2209,5;X;5957,5;1254,8;4277,9;X;114,6;5071,7;19130,9
2303303;Cariús (CE);457,4;3694,8;X;4608,7;4828,6;1519,9;6527,1;X;9795,6;31432,1
2303402;Carnaubal (CE);227;1229,1;X;142,7;10,5;3,2;35;-;X;1647,5
2303501;Cascavel (CE);10179,1;1898,5;9;3316,1;93;262,7;6877,8;22,6;1567,3;24226,1
2303600;Catarina (CE);125,3;2469,2;-;8867,2;1691,8;680,6;4873,3;-;9397,9;28105,3
2303659;Catunda (CE);22,9;1583,2;X;6521,2;17,5;-;25988,4;X;-;34133,2
2303709;Caucaia (CE);638;1390,6;2,2;2975,4;819,1;1295,8;7426;96,2;1205,7;15849
2303808;Cedro (CE);408,2;2786,7;X;8906,1;4310,9;3559,6;3146;-;8481,5;31599
2303907;Chaval (CE);313,2;324,4;-;57,7;X;X;-;-;-;695,3
2303931;Choró (CE);98,7;4137,5;X;6393,8;96,2;498,6;1363,1;X;12368,8;24956,7
2303956;Chorozinho (CE);7424,3;1597,2;X;205,9;X;X;2731;X;X;11958,4
2304004;Coreaú (CE);184,5;4956,5;X;4484,2;2565,8;619;114;-;X;12924
2304103;Crateús (CE);355,2;16657,2;X;89265,2;831,9;324,3;33165,1;X;245,7;140844,6
2304202;Crato (CE);1117,5;3358,9;11,2;1211,2;3732,6;1122,6;2068,8;12,3;2221,6;14856,7
2304236;Croatá (CE);75,1;1006,3;X;402,7;7,4;101,6;3705,9;X;3073,5;8372,5
2304251;Cruz (CE);7810,8;688,2;X;1466,7;147,7;31,9;1292,3;X;1053,5;12491,1
2304269;Deputado Irapuan Pinheiro (CE);X;1649,7;-;6578,6;1991,6;739,7;5119,3;X;3502;19580,9
2304277;Ereré (CE);101;2351,1;X;7133;736,1;2504,8;X;-;6813,6;19639,6
2304285;Eusébio (CE);55;43,4;6;14,6;0,4;X;-;-;-;119,4
2304301;Farias Brito (CE);69,1;2600,5;X;2209,8;708,2;6145,4;2509,3;X;7828,8;22071,1
2304350;Forquilha (CE);26,2;1447;X;7507;1284,5;X;767,1;-;2507,6;13539,4
2304400;Fortaleza (CE);13,1;51,6;X;22,6;5,6;-;13,8;X;X;106,7
2304459;Fortim (CE);2169,1;364,2;-;94,5;166,5;16,5;911,2;-;68,4;3790,4
2304509;Frecheirinha (CE);71,7;1182,9;-;458,9;221,2;138,5;X;-;2289,9;4363,1
2304608;General Sampaio (CE);23;404,7;-;1427,1;155,7;19,5;1446,2;-;181,5;3657,7
2304657;Graça (CE);690,5;4892,1;28;119,7;242,5;162,5;3468,5;X;X;9603,8
2304707;Granja (CE);4244,7;11767,8;X;2027,4;248,1;396,7;9819;X;-;28503,7
2304806;Granjeiro (CE);71,8;507,7;X;988,8;482,4;429,6;1237,1;-;X;3717,4
2304905;Groaíras (CE);539,1;1953,4;X;3303,4;111,1;316,7;-;-;X;6223,7
2304954;Guaiúba (CE);1123,4;1260,3;X;1935,3;461,4;58,9;293,1;X;1235,9;6368,3
2305001;Guaraciaba do Norte (CE);1012,5;2961,6;X;2034,3;127,4;815,3;148;X;4012,7;11111,8
2305100;Guaramiranga (CE);554,1;56,3;10,6;44,3;22,1;-;87,5;X;X;774,9
2305209;Hidrolândia (CE);191,1;3138,6;X;8509,8;281,6;X;50502,4;-;-;62623,5
2305233;Horizonte (CE);3036,9;685,6;X;298,3;33,8;16,7;25;-;X;4096,3
2305266;Ibaretama (CE);827,7;6219,8;X;12277,5;446,1;1567,2;X;X;33674,8;55013,1
2305308;Ibiapina (CE);1699,3;2285,3;10,2;1520,6;137,3;83,8;1259,2;26,7;2951;9973,4
2305332;Ibicuitinga (CE);597,9;4965,6;-;7487,5;94,9;102;4483,2;-;2405,6;20136,7
2305357;Icapuí (CE);18411;155,6;X;3973,6;8;1202,7;290,7;X;16,2;24057,8
2305407;Icó (CE);414,7;9569,9;10,2;29318,9;3841,4;4329,5;17869,4;-;-;65354
2305506;Iguatu (CE);574,8;5682,9;X;17650,6;2948,7;3544,3;1744;X;6123;38268,3
2305605;Independência (CE);79;3429,2;X;99672,3;2437,5;6733,2;7825;X;47873,6;168049,8
2305654;Ipaporanga (CE);518,9;3894,1;X;8538,7;284,8;348,1;17506,2;X;X;31090,8
2305704;Ipaumirim (CE);55;806;X;6157,2;110,4;2093,6;2447,7;-;X;11669,9
2305803;Ipu (CE);791,3;2334;X;12948,4;418,4;X;5914,3;-;729,1;23135,5
2305902;Ipueiras (CE);540,8;5130;X;4534,8;493,9;652,8;6280,1;X;26850,2;44482,6
2306009;Iracema (CE);233,7;2486,7;-;15755,7;1299,6;721,1;X;X;22675;43171,8
2306108;Irauçuba (CE);26,1;1772,9;-;26123,1;115,1;15124,3;726;X;28572,9;72460,4
2306207;Itaiçaba (CE);433,8;1092,5;X;1035,9;9,5;214,5;2597,3;-;X;5383,5
2306256;Itaitinga (CE);209;247,2;X;395,9;55,9;X;10,1;-;X;918,1
2306306;Itapajé (CE);1465,3;1695,5;X;4443,4;327,2;532,1;1775,4;X;7904,9;18143,8
2306405;Itapipoca (CE);16506,4;6766,6;9,1;16007,3;615,5;1377;11787,4;33,8;14715,1;67818,2
2306504;Itapiúna (CE);164,9;3078,8;X;3279,3;443,3;1442;2435,8;-;2383,4;13227,5
2306553;Itarema (CE);14359,8;2032,2;1,6;1583,9;69,4;166,9;948,9;-;3720,8;22883,5
2306603;Itatira (CE);174,6;3832,4;-;12052,6;342,5;X;7750,4;-;X;24152,5
2306702;Jaguaretama (CE);61,4;14647,9;X;75614,1;1142,9;1256,8;X;X;15330,3;108053,4
2306801;Jaguaribara (CE);297,6;474,4;-;10775,7;496,4;560,5;822,1;-;2216,4;15643,1
2306900;Jaguaribe (CE);416,6;2406,6;37,5;57234,8;8776,8;3396,9;3977,6;6;12559,1;88811,9
2307007;Jaguaruana (CE);1013,5;3625,2;X;11616,1;575,4;6477,3;9089,6;63,3;X;32460,4
2307106;Jardim (CE);176,1;3174,3;X;4242,3;1072,9;2620,6;1856,3;X;3896;17038,5
2307205;Jati (CE);X;478,2;-;5235,4;297,8;X;-;-;-;6011,4
2307254;Jijoca de Jericoacoara (CE);4460;141,4;-;18,2;X;X;263,7;X;-;4883,3
2307304;Juazeiro do Norte (CE);89;1368,6;X;3014,2;2006,1;394,3;1407,1;-;X;8279,3
2307403;Jucás (CE);225,5;2873,5;X;5310,9;11788,7;1394,8;12699,2;X;6976,6;41269,2
2307502;Lavras da Mangabeira (CE);249,4;4956,4;X;16474,3;4232,9;933;9622,5;X;420;36888,5
2307601;Limoeiro do Norte (CE);2419,6;5640,8;X;4328,2;1532,4;1519,7;929,9;X;3783,1;20153,7
2307635;Madalena (CE);609,5;3225;-;13279;46,6;X;9224,2;X;-;26384,3
2307650;Maracanaú (CE);46,1;274,1;X;206,9;21,5;X;82,1;9,5;X;640,2
2307700;Maranguape (CE);1051,9;10263,3;3,4;5889,6;1461,3;99,4;1746,1;43,4;3560,9;24119,3
2307809;Marco (CE);4667,4;1311,4;246,3;4080,3;48,1;235,7;4114,5;-;1306,3;16010
2307908;Martinópole (CE);486,4;443,2;-;10,5;-;-;10,2;-;-;950,3
2308005;Massapê (CE);234,7;1367,8;X;3203;319,4;1020,2;67,4;-;X;6212,5
2308104;Mauriti (CE);1339,7;7153,2;X;14686,9;2182,7;4217,9;6429,9;X;11904,3;47914,6
2308203;Meruoca (CE);1518,7;1076,2;X;58,1;9;X;12,3;X;536,6;3210,9
2308302;Milagres (CE);117,9;3906,6;X;4040,3;3401;2070,1;1198;X;3164;17897,9
2308351;Milhã (CE);93,4;3642,7;X;16454,4;380,7;X;2012,6;X;8940,1;31523,9
2308377;Miraíma (CE);7;998,8;X;16222,7;-;X;16707,4;-;2210,9;36146,8
2308401;Missão Velha (CE);1762,3;4776,2;X;7318,9;2122,8;1676,6;630,7;X;5353,2;23640,7
2308500;Mombaça (CE);596,6;11329,2;-;28978,1;3229,9;4051,7;24684,2;-;24066,9;96936,6
2308609;Monsenhor Tabosa (CE);135,7;4729,9;X;25200,5;636,6;407,9;X;-;19886,5;50997,1
2308708;Morada Nova (CE);1496,8;12432,6;X;57942,5;996,6;15307,5;17417,9;X;16910,7;122504,6
2308807;Moraújo (CE);235,3;843,4;-;1378,8;57,7;37;4960;-;1243;8755,2
2308906;Morrinhos (CE);4105,8;1392,8;X;3023,9;X;289,8;9953;-;-;18765,3
2309003;Mucambo (CE);154,3;1767,5;X;367,3;233,3;1178,4;2277,9;-;-;5978,7
2309102;Mulungu (CE);1141,7;861,3;X;41,4;12,1;X;156,1;-;104;2316,6
2309201;Nova Olinda (CE);297,6;979,4;X;1671,3;1670,1;1321,1;492,4;X;380,9;6812,8
2309300;Nova Russas (CE);178,1;3552,6;X;16742,9;103;454,4;20101,6;16,6;X;41149,2
2309409;Novo Oriente (CE);998,4;8884,1;X;11158,1;1723,7;3236,2;6403,6;X;10705,2;43109,3
2309458;Ocara (CE);5780,8;6600,5;X;5012,8;545,3;216,2;5056,2;X;1997,6;25209,4
2309508;Orós (CE);141;2990,1;X;7789,9;4288,8;1913,6;1973,5;X;11234,5;30331,4
2309607;Pacajus (CE);7048,7;1259,9;X;1388,2;35,1;40,3;205,8;-;X;9978
2309706;Pacatuba (CE);312,4;138,1;3,5;3440,8;49,4;257,6;32,8;10,8;2,2;4247,6
2309805;Pacoti (CE);1288,1;371,4;9;186,1;290,6;25,1;69,8;21,9;211,5;2473,5
2309904;Pacujá (CE);21;182,6;-;101,8;1;0,9;X;-;-;307,3
2310001;Palhano (CE);2238,4;2003,5;X;3336,2;40,3;861,3;1000,2;-;X;9479,9
2310100;Palmácia (CE);828,9;873,5;X;361,1;414,1;X;538;X;160,1;3175,7
2310209;Paracuru (CE);1341,3;422,5;X;609,2;173,4;101,3;X;-;599,8;3247,5
2310258;Paraipaba (CE);13406,6;1124,3;81,5;622,5;64,9;114,6;241,5;-;415,2;16071,1
2310308;Parambu (CE);619,3;5795,6;X;43828,2;4146,5;3496,7;19408,1;X;23905,7;101200,1
2310407;Paramoti (CE);102,8;1316,8;-;5588,2;14,8;79;221,2;X;13301,4;20624,2
2310506;Pedra Branca (CE);165,8;5428,1;X;10542,9;4098,6;8070,9;7321;X;23601,9;59229,2
2310605;Penaforte (CE);157,6;958,7;-;1877;403,5;671;X;X;188,8;4256,6
2310704;Pentecoste (CE);597,9;4440,5;208,2;8709,6;864,7;459,3;9931,8;-;10562,2;35774,2
2310803;Pereiro (CE);42,1;1741,8;-;1164,8;667,7;112,5;3058,4;-;1683,8;8471,1
2310852;Pindoretama (CE);699,4;428,3;X;488,3;168,1;5,8;X;-;11,6;1801,5
2310902;Piquet Carneiro (CE);140,3;2945,3;-;8168,5;1003,2;1882,6;12334,8;-;3809,5;30284,2
2310951;Pires Ferreira (CE);72,3;868,9;X;4775,3;704,5;349;X;-;319,4;7089,4
2311009;Poranga (CE);471,1;2142,3;X;29866;81,8;17,2;16966,8;X;X;49545,2
2311108;Porteiras (CE);328,7;2213,1;-;4902,8;1097,6;2223,3;351,1;X;X;11116,6
2311207;Potengi (CE);83;1272,8;X;4365;2409;2022,5;377;X;2818,5;13347,8
2311231;Potiretama (CE);2160,2;3435,4;X;12227,1;340,5;912,6;X;188,8;14188,4;33453
2311264;Quiterianópolis (CE);247,6;9400,2;X;18584,8;772,8;4019,3;7341,6;X;11530,2;51896,5
2311306;Quixadá (CE);1131,7;17776,9;X;27345,3;1325,6;648,2;12935,5;X;28969,7;90132,9
2311355;Quixelô (CE);210,6;2469,3;-;16034,4;2941,5;X;1449,7;X;2545;25650,5
2311405;Quixeramobim (CE);233,6;18745,1;X;80418,6;7238,1;6759;4163,3;X;25929,2;143486,9
2311504;Quixeré (CE);1885,3;2797,3;X;3203,9;177,9;3442,1;X;-;4526,2;16032,7
2311603;Redenção (CE);1993,6;2341,7;X;830,5;266,8;126,9;1238,6;X;3459,8;10257,9
2311702;Reriutaba (CE);479,7;2285,8;-;2702,9;430,1;687,9;2950,3;X;3792,7;13329,4
2311801;Russas (CE);2619,6;7639,8;X;15704,8;1310,7;7522,5;10817,5;-;X;45614,9
2311900;Saboeiro (CE);29,1;3086;X;11212,8;2644,5;4165,1;2359,6;X;30563,7;54060,8
2311959;Salitre (CE);144,2;8272,1;X;3716,9;1522,1;2794,2;11609;X;6931,3;34989,8
2312007;Santana do Acaraú (CE);602,4;3812,8;X;4347,7;933,5;572,8;20436,8;X;269,2;30975,2
2312106;Santana do Cariri (CE);284,1;1659;X;1896,4;1212,7;864,4;436,4;X;4234,7;10587,7
2312205;Santa Quitéria (CE);311,6;6991,2;X;43463,6;323,2;1166,6;143439,7;40;X;195735,9
2312304;São Benedito (CE);1835,9;6405,3;51,6;422,2;36,7;12,4;305,5;31;1782,5;10883,1
2312403;São Gonçalo do Amarante (CE);4224,5;1041,6;X;2768,7;195,8;273,9;2514,2;X;1078,3;12097
2312502;São João do Jaguaribe (CE);299,2;1230,1;X;5107,5;293,2;876;3623,2;X;830,7;12259,9
2312601;São Luís do Curu (CE);391,2;487,7;X;688;X;44;262,1;-;1226,7;3099,7
2312700;Senador Pompeu (CE);68,8;3646,7;X;15702,9;888,8;2179,1;X;-;25091,5;47577,8
2312809;Senador Sá (CE);750,9;638,7;-;1188,6;47;118,5;X;-;X;2743,7
2312908;Sobral (CE);503,9;10673,5;81,5;25911,3;3909,2;10206,3;3831,5;23;4223,3;59363,5
