Município (Código);Município;Lavouras - permanentes;Lavouras - temporárias;Lavouras - área para cultivo de flores;Pastagens - naturais;Pastagens - plantadas em boas condições;Pastagens - pastagens plantadas em más condições;Matas ou florestas - matas e/ou florestas naturais;Matas ou florestas - florestas plantadas;Sistemas agroflorestais - área cultivada com espécies florestais também usada para lavouras e pastoreio por animais;Soma
3157807;Santa Luzia (MG);23,1;539,4;X;2309,9;316,7;15;284,6;X;158;3646,7
3157906;Santa Margarida (MG);11026,9;235,1;X;5007,4;190,7;91,6;50,4;228,9;X;16831
3158003;Santa Maria de Itabira (MG);237,1;578;5,9;5211,4;10498,2;301,6;1469,8;4012,6;484,1;22798,7
3158102;Santa Maria do Salto (MG);84,5;229,8;X;5507;14855,5;1111,5;X;X;X;21788,3
3158201;Santa Maria do Suaçuí (MG);173,2;1461,3;X;12906,9;12079,3;1359,8;365,9;X;729,7;29076,1
3158300;Santana da Vargem (MG);5967,3;1699,5;4,4;2145,5;1902,1;X;X;333,8;51;12103,6
3158409;Santana de Cataguases (MG);17,2;61,3;-;11112,7;1543,7;57,7;X;512,6;X;13305,2
3158508;Santana de Pirapama (MG);514,8;2465,4;X;11214,8;18580,5;3509,1;1907,6;X;2434,1;40626,3
3158607;Santana do Deserto (MG);20,9;289;-;653,7;5521,6;1611,7;X;X;182,2;8279,1
3158706;Santana do Garambéu (MG);113,8;830,4;12,5;2093,4;2631,7;310,1;279,5;1955,7;440,9;8668
3158805;Santana do Jacaré (MG);539,9;169,5;X;3389,2;2360,3;X;-;53,8;X;6512,7
3158904;Santana do Manhuaçu (MG);8685,4;508;X;10951,3;668,2;X;73,2;267;42,2;21195,3
3158953;Santana do Paraíso (MG);260,1;105;0,7;3349,4;2109,5;X;X;X;-;5824,7
3159001;Santana do Riacho (MG);207,3;445,9;X;3214;4231,5;1918,4;246,2;X;1225,7;11489
3159100;Santana dos Montes (MG);120,9;583,8;X;4851,8;1208,6;X;X;220;X;6985,1
3159209;Santa Rita de Caldas (MG);752,5;4227,2;-;22055,7;5666,7;94,3;572,7;503,9;205,7;34078,7
3159308;Santa Rita de Jacutinga (MG);67,9;369,9;X;14482,1;6098,1;267,5;X;X;X;21285,5
3159357;Santa Rita de Minas (MG);2131,4;159,9;-;1518,8;285,5;34,8;X;170,3;X;4300,7
3159407;Santa Rita de Ibitipoca (MG);95;1715,9;-;6168,2;5841,9;193,3;X;1816;X;15830,3
3159506;Santa Rita do Itueto (MG);5835,1;35,2;X;9297,2;6680;244;X;268,5;X;22360
3159605;Santa Rita do Sapucaí (MG);5311,2;2100,1;10,9;5736,3;7962,7;42,4;156,5;330,7;78,7;21729,5
3159704;Santa Rosa da Serra (MG);3448;433,9;X;2587,2;11318,3;379,2;205,6;495,5;X;18867,7
3159803;Santa Vitória (MG);2442,9;46149;0,9;2854,3;136301;3954,5;643,2;102,6;358,9;192807,3
3159902;Santo Antônio do Amparo (MG);8002,2;1047;X;4615,8;8787,1;260,3;164,1;4093,1;X;26969,6
3160009;Santo Antônio do Aventureiro (MG);140,8;547,7;-;2667,8;9497,1;83,2;X;474,5;X;13411,1
3160108;Santo Antônio do Grama (MG);93,9;1029,6;X;3227;4240,2;19,1;42,5;262,3;X;8914,6
3160207;Santo Antônio do Itambé (MG);68;444,7;X;80,1;5760,2;X;212,3;X;942;7507,3
3160306;Santo Antônio do Jacinto (MG);115,2;613,4;2,4;11031,4;18816,7;1057,9;246,4;18,2;28,9;31930,5
3160405;Santo Antônio do Monte (MG);684,5;4559,4;34,9;26225,7;28858,1;1803,3;921,2;3009,5;481,7;66578,3
3160454;Santo Antônio do Retiro (MG);444,8;1630,4;X;1757,3;954,8;919,6;4714,7;X;1734,5;12156,1
3160504;Santo Antônio do Rio Abaixo (MG);16,1;141,7;X;1521,8;3297,9;56,1;95,6;X;X;5129,2
3160603;Santo Hipólito (MG);36,8;904,3;X;3155,2;12742,8;8904,6;231,7;X;1149,2;27124,6
3160702;Santos Dumont (MG);378,3;675;X;8217,8;13105,4;324,2;802,4;10152,4;X;33655,5
3160801;São Bento Abade (MG);962,2;1402,7;-;515,4;542,6;X;122,7;1052,3;X;4597,9
3160900;São Brás do Suaçuí (MG);X;181,5;-;2300,7;431,2;-;X;66;42,2;3021,6
3160959;São Domingos das Dores (MG);2534,3;98,1;X;436,1;X;X;7,7;12,9;X;3089,1
3161007;São Domingos do Prata (MG);319,2;2990,5;16,7;6399,8;15066,3;127,7;2521,4;4994,8;284,6;32721
3161056;São Félix de Minas (MG);148,2;229,4;-;1796,1;6960,1;X;X;-;-;9133,8
3161106;São Francisco (MG);539,8;11223,4;X;16814,1;28980,1;50075,7;12019,7;X;17599,4;137252,2
3161205;São Francisco de Paula (MG);2808,5;1108,7;X;4188,8;11466,1;261;145,6;420;X;20398,7
3161304;São Francisco de Sales (MG);1443,6;17994,5;-;X;39008,8;7468,8;291,8;-;X;66207,5
3161403;São Francisco do Glória (MG);2137,2;492,8;X;3212,4;5069,9;41,1;37,3;100,1;X;11090,8
3161502;São Geraldo (MG);691,3;660,2;-;5811;2259,1;X;X;604,1;25,6;10051,3
3161601;São Geraldo da Piedade (MG);243,4;306,9;-;2113,3;7768,2;110,1;75,3;X;X;10617,2
3161650;São Geraldo do Baixio (MG);290,8;572;X;5560,6;12360,1;1697;211,9;X;412,8;21105,2
3161700;São Gonçalo do Abaeté (MG);1217,3;9561,6;X;39162,3;36534;11039;X;18892,5;4101,5;120508,2
3161809;São Gonçalo do Pará (MG);116,2;863,9;X;1032;9875,7;203,1;X;813,9;154,9;13059,7
3161908;São Gonçalo do Rio Abaixo (MG);301,9;638,6;-;1401,7;7599,7;107,8;1142,8;454,8;257,4;11904,7
3162005;São Gonçalo do Sapucaí (MG);5898,2;9281,2;X;8732,6;7932,3;X;69,1;443,3;9;32365,7
3162104;São Gotardo (MG);2001,7;8797;31,4;5267,8;32439,5;3001,7;490,7;612,5;103;52745,3
3162203;São João Batista do Glória (MG);926,1;10889,1;X;7554,2;3689,8;312,9;108,4;X;145;23625,5
3162252;São João da Lagoa (MG);54,6;1464,9;X;1392,8;13486,9;11141,5;X;5167,8;7648,5;40357
3162302;São João da Mata (MG);1207,3;738,8;-;1748,8;3551,1;439,5;X;63,8;X;7749,3
3162401;São João da Ponte (MG);910,8;7907,4;29,1;15664,6;32224,6;33940,4;4407,4;35,8;6218,9;101339
3162450;São João das Missões (MG);X;2429,6;X;870;3715,5;3537;780,9;-;1747,1;13080,1
3162500;São João del Rei (MG);1913;13486,6;5,9;11378,4;14937,4;649,7;475,7;4770,4;194,5;47811,6
3162559;São João do Manhuaçu (MG);5325,4;75,4;3,4;1206,4;94,3;2,8;X;18,2;X;6725,9
3162575;São João do Manteninha (MG);259,6;193,5;X;3524,5;3512,4;1612,1;X;-;-;9102,1
3162609;São João do Oriente (MG);317,8;1282,7;84,8;2677,1;3389,5;13,6;248,9;20,9;53,1;8088,4
3162658;São João do Pacuí (MG);251,3;2235;X;1359,2;10961,8;6863;516,3;X;1286,9;23473,5
3162708;São João do Paraíso (MG);1341,9;4777,2;X;5069,6;5090,7;1802,3;4988,7;X;8157,8;31228,2
3162807;São João Evangelista (MG);298,9;984,1;X;5408,5;13822,3;289,1;X;3314,6;X;24117,5
3162906;São João Nepomuceno (MG);203,9;878,2;X;3129,3;19296,5;362,5;348,6;X;353,9;24572,9
3162922;São Joaquim de Bicas (MG);20,7;365,4;X;501,5;438,1;67,1;12,4;X;X;1405,2
3162948;São José da Barra (MG);3140,4;5689,9;7,9;4331,3;761,3;304,5;26,6;100,9;18,7;14381,5
3162955;São José da Lapa (MG);X;49,1;-;667,8;X;-;-;-;-;716,9
3163003;São José da Safira (MG);90,8;93,3;-;2202;9616,9;1517,4;X;X;-;13520,4
3163102;São José da Varginha (MG);170,2;1347,5;X;1711,5;9584,2;556,8;-;191,7;X;13561,9
3163201;São José do Alegre (MG);397,2;521,8;-;1153,4;3525,5;36,3;X;X;X;5634,2
3163300;São José do Divino (MG);167,4;324,6;X;2833,4;17092,5;5985,4;X;-;-;26403,3
3163409;São José do Goiabal (MG);87,1;951,4;-;8175,6;4224,4;53,9;9;3751,9;55,5;17308,8
3163508;São José do Jacuri (MG);125,1;713,5;X;1124,9;14021,7;X;249,1;857;607,9;17699,2
3163607;São José do Mantimento (MG);808,6;221,7;-;59;1939;-;37,2;18,9;56,8;3141,2
3163706;São Lourenço (MG);146,2;96;-;1105,1;863,5;X;X;45,8;X;2256,6
3163805;São Miguel do Anta (MG);2741,4;717,5;X;5123,7;966,5;104,6;X;488,6;18,7;10161
3163904;São Pedro da União (MG);5182;3813,8;6,5;3280,8;5964,4;403,8;126,8;257,1;101;19136,2
3164001;São Pedro dos Ferros (MG);95,5;4758,5;-;3559,6;14215,6;620,1;69,7;6668,6;282,9;30270,5
3164100;São Pedro do Suaçuí (MG);23,9;684,9;-;2862,3;10758;X;X;154,1;167,6;14650,8
3164209;São Romão (MG);888,7;7273,8;-;8875;24843,6;9275,5;12415,9;-;39829,6;103402,1
3164308;São Roque de Minas (MG);8742,8;5164,7;X;26991,8;29604,9;370,2;X;1964,7;X;72839,1
3164407;São Sebastião da Bela Vista (MG);1429,2;1884;X;2328,3;4466,2;-;-;X;X;10107,7
3164431;São Sebastião da Vargem Alegre (MG);1203,3;38,7;3,1;280,8;3091,3;103,4;54,4;307,4;-;5082,4
3164472;São Sebastião do Anta (MG);2910;186,5;X;956,5;431,6;X;X;X;4,9;4489,5
3164506;São Sebastião do Maranhão (MG);201,6;1501,6;-;1209,1;17575,3;585,3;202,8;146,8;365;21787,5
3164605;São Sebastião do Oeste (MG);80,3;1422,7;X;2769,4;16645,7;243,6;307,4;2110,1;X;23579,2
3164704;São Sebastião do Paraíso (MG);18357,3;7419,1;9,9;8806,6;11368,5;311,8;202,8;1002,6;35;47513,6
3164803;São Sebastião do Rio Preto (MG);69,7;302,4;-;1459,4;4209,9;X;159,1;X;353,6;6554,1
3164902;São Sebastião do Rio Verde (MG);9,7;729,5;X;236,1;4475;59,5;X;13,1;X;5522,9
3165008;São Tiago (MG);615,8;3036,7;-;7325,8;15376,5;342,5;X;2284,5;X;28981,8
3165107;São Tomás de Aquino (MG);8342,7;1461,1;X;4533,3;1870;X;115,4;241,3;X;16563,8
