"";"...1";"area_estabelecimentos";"area_lavouras";"area_producao";"despesas_terra";"qtde_estabelecimentos";"pessoal_ocupado";"salarios";"pessoal_homens";"pessoal_mulheres";"qtde_tratores";"qtde_maquinas";"uso_adubos";"uso_corretivos";"uso_assistencia_tecnica";"uso_agrotoxicos";"uso_conservacao";"uso_irrigacao";"uso_energia";"despesa_insumos";"intensidade_agrotoxico";"despesas_estabelecimentos";"despesas_outras";"despesas_lavouras";"receitas_lavouras";"receitas_estabelecimentos";"CR_sicor";"producao";"pib_agro_municipios"
"3674";4314134;9021,3;8045;9279;13902;289;871;516;532;339;296;645;285;106;244;244;414;22;279;15719;183,86956522;27139;702;20032;28024;287;14362083,71;46728;33319,85
"3675";4314159;11783;2605,6;10338;3407;1219;2261;1250;1446;815;225;298;804;64;61;61;982;6;989;7573;5,56321839;16768;189;5157;11881;1183;4512415,57;44548;36122,57
"3676";4314175;114469,9;14257,9;47908;37368;518;1823;6362;1220;603;356;703;292;75;224;224;300;18;486;33743;1257;80406;1641;53449;95859;507;36479628,08;130842;69786,88
"3677";4314308;35435,7;33427,5;37129;65265;282;935;6094;707;228;492;1087;263;112;229;229;395;26;244;64413;9753,33333333;106418;4282;92507;113611;277;74633949,65;179025;112610,24
"3678";4314407;85307,9;51296,1;70206;71361;2697;7329;11690;4553;2776;2869;4158;2487;1456;960;960;4983;396;2653;72325;6,84087537;146366;9869;104525;257243;2657;381745903,18;328520;240325,73
"3679";4314423;1845,2;636,2;1764;1139;176;363;455;237;126;94;113;141;48;64;64;167;19;170;3436;7,09375;5775;88;1069;2632;171;2033136,18;12074;6071,94
"3680";4314456;5755,6;2888,3;3355;5140;440;970;1128;570;400;121;263;410;38;407;407;727;10;401;6942;587;14776;1202;6527;11640;437;12191437,37;42119;29523,31
"3681";4314464;23355,6;8715,8;17390;11646;563;1491;1423;886;605;164;286;364;182;145;145;438;33;535;10364;226,91666667;22419;2212;16724;27751;524;12540090,16;35050;42532,05
"3682";4314472;28979,7;21809,5;33895;35862;679;1647;2572;1017;630;536;1046;664;232;470;470;680;7;636;33658;500,88888889;65171;4301;56843;84818;676;42285514,13;105461;72808,68
"3683";4314498;6049,5;3876,3;4255;7233;675;1981;1513;1146;835;183;349;601;46;339;339;1017;12;660;20110;20,7254902;33293;1460;7875;15498;678;12832749,98;94032;37853,47
"3684";4314506;175031,2;5110,1;42734;16518;1359;3275;6779;2304;971;401;683;489;77;180;180;388;8;1187;15631;11,66511628;62031;1940;15205;33975;1339;40385331,25;95822;53729,06
"3685";4314548;5554,4;3255,1;7411;13984;413;1723;6903;1201;522;500;668;392;190;245;245;575;48;393;13193;2,82976282;33814;2832;32041;60190;403;15731554,45;57026;15613,01
"3686";4314555;21268;5592,3;9741;11502;613;1505;790;888;617;125;295;450;47;258;258;712;150;541;12074;1747;25933;1775;14162;22400;612;12955254,78;38884;24844,22
"3687";4314605;210529,9;35711;110345;41197;2697;6215;21558;4287;1928;829;1604;1448;433;412;412;1391;27;2491;39973;44,21940928;128623;5728;64116;132079;2559;70459298,83;209791;137440,76
"3688";4314704;9593,3;5883,9;8240;8722;1079;2552;663;1632;920;281;496;955;107;397;397;1188;24;1003;11224;1,80560928;22580;2175;12562;26627;1048;11951780,14;41690;32055,18
"3689";4314753;3768,8;706,4;3831;930;468;884;1115;543;341;92;99;329;42;142;142;292;4;425;31586;2,01298701;51678;2158;1824;5417;459;2397594,21;56289;16914,86
"3690";4314779;39898;33939,9;42575;73607;440;1515;13084;993;522;553;1211;434;245;372;372;889;8;414;75268;9839,75;115549;8415;101743;157106;385;56847137,32;182318;114248,53
"3691";4314787;6277;5462,9;5525;9431;299;852;445;518;334;203;425;288;95;255;255;765;10;277;11853;208,91666667;22384;830;12581;17983;296;13901271,07;36521;23761,19
"3692";4314803;7427,2;894,9;2400;2047;371;847;2176;586;261;200;255;254;67;88;88;215;36;344;2519;0,89814815;10979;77;1690;5028;360;2404261,26;16075;33448,63
"3693";4314902;5091,3;1436,5;3460;3376;384;1433;6582;1076;357;231;291;326;143;227;227;581;181;368;4955;2,96666667;20251;1116;3239;6707;369;280828868,6;19228;21111,71
"3694";4315008;17925,3;7599,5;11029;11134;1098;2481;707;1516;965;354;823;980;89;978;978;2104;35;1030;14080;555,25;30664;2796;13840;27756;1077;13687170,53;59072;36278,81
"3695";4315057;6822,2;4409,8;5568;8628;431;1007;413;587;420;194;380;379;61;322;322;778;24;370;9269;54,3030303;18228;612;12264;18614;430;10700545,13;27839;18679,07
"3696";4315073;9060,4;1586,4;3316;1676;494;1112;508;642;470;75;122;404;23;143;143;622;11;436;3118;7,39285714;9427;1153;2815;7030;488;2993577,5;17219;11204,54
"3697";4315107;19244,2;3723;8872;3896;1119;2616;1676;1484;1132;214;355;817;40;866;866;1337;42;1070;6223;28,84210526;20395;951;6885;18267;1109;13299343,96;32791;21791,23
"3698";4315131;5152,2;1009;2581;1274;305;811;1310;497;314;101;176;243;29;128;128;141;4;302;2683;6,5;7832;839;868;2894;302;2606120,21;13135;16749,18
"3699";4315149;2153;901,1;2007;866;281;635;248;412;223;140;151;247;54;88;88;338;50;263;1619;2,21276596;3985;42;957;4223;274;5874879,65;9987;8861,62
"3700";4315156;13148,9;4702,4;13203;7989;1033;2462;1454;1451;1011;317;539;917;261;496;496;1111;6;988;46112;130,4;71950;4080;14168;31581;982;6329943,68;103007;44704,49
"3701";4315172;9288,5;3474,6;6046;5644;330;1255;3144;926;329;247;449;285;81;241;241;236;7;312;10890;10,84328358;23634;3011;6845;12105;322;9265366,89;39844;24906,15
"3702";4315206;9806;5502,3;7404;7115;634;1750;1578;1096;654;327;594;580;113;350;350;507;5;577;46472;0,59722222;74668;2104;9015;23811;624;7455813,57;107617;38535,18
"3703";4315305;278558,4;16800,9;59706;35335;932;2950;17577;2190;760;513;891;298;92;278;278;328;87;888;32168;49,88297872;108673;5806;50096;124353;899;87806353,28;215840;108590,74
"3704";4315354;12742,6;9627,9;8583;21099;432;1299;2320;775;524;631;1325;420;187;343;343;752;9;392;38229;6391;64259;5474;21568;28820;428;28299064,58;114687;60032,07
"3705";4315404;19790,2;15693;24256;18478;1086;2740;1114;1672;1068;223;558;738;81;249;249;1503;12;1001;18671;800,57142857;29191;951;22032;47092;1086;30889833,32;70896;56878,01
"3706";4315453;5542,2;2068,3;3286;3001;352;899;297;541;358;141;306;295;53;155;155;302;1;326;44923;6,16666667;60326;1201;2399;5049;346;3711215,55;82055;20727,09
"3707";4315552;14579,6;9240,4;12099;19582;564;1507;875;865;642;249;505;528;88;228;228;986;2;547;19288;84;29787;398;22325;39882;562;24713913,01;60793;34950,23
"3708";4315701;150020,8;63384,3;118826;127719;2429;6880;16667;4700;2180;1640;3066;1995;827;1187;1187;2356;152;2347;105758;475,35802469;245577;12907;187893;288505;2378;105061630,45;352262;249647,73
"3709";4315750;7244,2;1062,8;7653;942;427;913;1713;662;251;65;73;273;88;123;123;600;31;396;1557;1,48;6580;254;2265;5672;403;613270,98;19718;3566,78
"3710";4315800;8066,7;4088,1;6473;4429;814;1677;2874;981;696;319;500;641;35;533;533;324;16;753;69846;3,16818182;121064;7153;5919;15684;799;8352476,94;147565;44661,95
"3711";4315909;5481,1;3868,9;4839;9302;515;1371;3885;857;514;115;222;487;55;343;343;1048;34;465;10440;27,0754717;37404;5722;15680;19039;511;21128145,77;89124;36141,12
