"";"Ano";"Município (Código)";"Município";"area_lavouras";"despesa_insumos";"despesa_lavouras";"despesa_terras";"CR_RECOR";"pessoal_ocupado";"qtde_maquinas";"qtde_tratores";"receita_lavouras";"uso_adubos";"uso_agrotoxicos";"uso_assistencia_tecnica";"uso_corretivos";"producao";"pib_agro";"cluster"
"70";"2006";"1200450";"Senador Guiomard - AC";8954;3773;916;433;25120707,82;3319;291;86;10828;60;118;509;30;100872;33091;9
"71";"2006";"1200500";"Sena Madureira - AC";13267;2218;1020;261;14958400,22;7035;893;26;2447;116;100;231;27;78981;29772;6
"72";"2006";"1200609";"Tarauacá - AC";7388;863;1306;34;6118564,43;8238;43;10;3682;39;54;128;8;62246;18083;6
"73";"2006";"1200708";"Xapuri - AC";28300;2100;1132;383;4104942,11;4384;92;43;8691;11;65;242;4;64024;19671;4
"74";"2006";"1200807";"Porto Acre - AC";3437;1590;1280;280;37394792,23;4738;218;66;4291;55;141;266;18;99687;20878;4
"81";"2006";"1300300";"Autazes - AM";1436;607;134;164;36399131,6199997;1612;137;13;429;38;76;273;31;61544;26201;4
"87";"2006";"1300706";"Boca do Acre - AM";10043;1958;1134;14;16303717,72;5691;59;19;3386;9;13;338;3;89524;34721;4
"88";"2006";"1300805";"Borba - AM";15607;272;649;144;15044794,79;2642;66;6;5256;92;18;205;25;32958;10263;4
"92";"2006";"1301100";"Careiro - AM";66749;679;1720;122;23252708,31;13975;341;16;11145;249;175;191;51;30772;18711;6
"93";"2006";"1301159";"Careiro da Várzea - AM";2521;3845;578;3488;13392278,5999999;4749;185;19;3443;563;652;335;25;48349;58777;6
"100";"2006";"1301704";"Humaitá - AM";3746;1494;443;740;17795219,09;452;100;39;535;13;12;80;9;23294;9126;4
"102";"2006";"1301852";"Iranduba - AM";79590;786;977;664;3267097,62;2589;151;61;8936;350;284;150;150;84032;30999;9
"103";"2006";"1301902";"Itacoatiara - AM";10194;1185;2350;622;12392594,53;5509;158;46;7271;303;229;374;162;92674;76810;9
"109";"2006";"1302405";"Lábrea - AM";7599;1941;1498;82;3574968,77;7516;240;53;3227;76;33;142;32;92578;19620;6
"110";"2006";"1302504";"Manacapuru - AM";13347;1751;3967;686;24890366,02;7968;172;54;21579;484;405;215;124;52180;87580;6
"112";"2006";"1302603";"Manaus - AM";9088;11117;4193;1005;22973647,59;3106;542;113;12767;488;77;176;322;153033;68128;9
"113";"2006";"1302702";"Manicoré - AM";12272;705;1130;115;8242386,25;7193;85;31;7472;149;175;125;34;96279;30538;6
"115";"2006";"1302900";"Maués - AM";5497;531;1541;192;10826733,86;6245;187;9;6468;73;86;549;23;34476;13919;6
"119";"2006";"1303304";"Novo Aripuanã - AM";5027;171;607;42;4049391,76;2558;84;7;3618;107;76;228;17;29673;107173;9
"120";"2006";"1303403";"Parintins - AM";9424;1324;1622;222;15409897,67;14437;25;6;33542;101;399;810;28;59192;66383;6
"122";"2006";"1303536";"Presidente Figueiredo - AM";10350;653;2162;450;3034200,55;2603;146;33;4089;439;39;201;175;93567;32157;4
"123";"2006";"1303569";"Rio Preto da Eva - AM";16661;4581;7673;2879;7225432,6;6238;772;112;9649;994;131;260;753;69985;28403;9
"129";"2006";"1304005";"Silves - AM";1653;195;183;58;706394,42;2746;19;6;800;10;11;29;9;8467;8138;4
"135";"2006";"1304302";"Urucará - AM";837;239;158;25;2008990,71;855;37;3;439;16;13;74;3;15607;17347;4
"137";"2006";"1400027";"Amajari - RR";521;977;542;397;9231463,14;927;69;23;1167;4;4;19;2;79987;6173;4
"138";"2006";"1400050";"Alto Alegre - RR";23244;2892;4817;2191;4174586,95;3653;141;65;3686;75;57;51;24;108516;9268;4
"139";"2006";"1400100";"Boa Vista - RR";1531;517;306;476;42659592,8;655;48;7;762;82;36;76;47;68894;7934;4
"140";"2006";"1400159";"Bonfim - RR";33724;3667;4303;3266;6416032,48000001;1122;89;41;12405;30;13;32;19;111815;12590;4
"141";"2006";"1400175";"Cantá - RR";5204;1025;586;158;14798843,18;3398;134;66;1135;53;36;156;33;105562;7905;4
"142";"2006";"1400209";"Caracaraí - RR";4855;681;1208;150;25698597,4800001;2870;56;36;3660;46;53;60;12;26495;4759;4
"143";"2006";"1400233";"Caroebe - RR";1992;608;193;47;43505187,75;2222;39;16;1971;21;10;25;20;38470;4216;4
"144";"2006";"1400282";"Iracema - RR";1689;942;9;362;80758000,8500001;387;39;17;227;9;7;13;5;45650;2628;4
"145";"2006";"1400308";"Mucajaí - RR";6592;869;331;111;38202218,18;2371;101;42;413;54;45;79;13;67781;5564;4
"146";"2006";"1400407";"Normandia - RR";5773;425;604;305;6316083,82;1022;14;5;562;30;18;20;18;17700;12513;4
"148";"2006";"1400472";"Rorainópolis - RR";5216;2773;1418;585;7361585,76;5687;86;32;2674;236;274;247;145;34116;6968;4
"149";"2006";"1400506";"São João da Baliza - RR";1360;336;309;30;2092323,48;1097;22;14;1840;9;12;14;2;15579;1907;4
"150";"2006";"1400605";"São Luiz - RR";8513;1019;302;49;5620214,03;1638;18;11;4471;9;75;19;2;16038;1894;4
"153";"2006";"1500131";"Abel Figueiredo - PA";240;1135;316;48;2418506,78;483;18;9;6433;7;2;11;7;14251;15052;4
"154";"2006";"1500206";"Acará - PA";37020;2010;7089;1283;11729193,74;14962;217;90;74616;778;138;279;62;155879;198871;6
"156";"2006";"1500347";"Água Azul do Norte - PA";2790;6772;211;2082;10138398,24;4781;464;171;5;30;190;142;20;190932;47237;4
"157";"2006";"1500404";"Alenquer - PA";13527;735;3145;532;50447194,2200005;7692;149;56;9973;54;127;173;7;107972;57610;6
"158";"2006";"1500503";"Almeirim - PA";3633;382;215;13;94026647,84;2907;280;6;1756;13;13;105;5;32905;31382;4
"159";"2006";"1500602";"Altamira - PA";32956;6739;4148;1048;367516352,019999;7470;521;283;12732;212;214;206;49;296922;65196;9
"162";"2006";"1500859";"Anapu - PA";9989;2445;988;162;9502534,65000002;4828;129;43;5743;12;64;124;3;70033;20848;4
"163";"2006";"1500909";"Augusto Corrêa - PA";5900;586;1919;500;5485919,18;6999;121;44;3675;749;128;50;46;60504;21777;6
"164";"2006";"1500958";"Aurora do Pará - PA";4219;3198;1498;1109;10639720,61;3047;179;88;13347;239;97;150;28;56890;42657;4
"165";"2006";"1501006";"Aveiro - PA";4507;334;733;33;29108527,88;5077;5;4;2735;14;58;53;3;31580;7618;4
"167";"2006";"1501204";"Baião - PA";9263;1509;2971;1106;2480005,69;7834;182;30;26510;971;460;536;667;64664;38444;6
"168";"2006";"1501253";"Bannach - PA";433;3717;347;835;7615413,71;1022;162;52;201;3;46;65;5;28805;19508;4
