"";"UF";"codigo_UF";"area_lavouras";"area_pastagens";"area_producao";"despesa_insumos";"despesas_agrotoxicos";"despesas_estabelecimentos";"despesas_lavouras";"despesas_maquinas";"despesas_outras";"despesas_terra";"pessoal_ocupado";"qtde_estabelecimentos";"qtde_maquinas";"qtde_tratores";"receitas_estabelecimentos";"receitas_lavouras";"salarios";"uso_adubos";"uso_agrotoxicos";"uso_assistencia_tecnica";"uso_conservacao";"uso_corretivos";"uso_energia";"uso_irrigacao";"pct_arroz";"pct_cana";"pct_milho";"pct_soja";"pct_cafe";"pct_outras_culturas";"CR_sicor";"producao";"pib_municipios";"cluster"
"16";"Bahia";29;19397649;11831006;6068696;6127830;2070426;16297477;10278322;1774561;1065274;6554926;2106127;756822;57412;38615;27473031;15652768;54901;299775;125939;58556;483682;54472;565060;93595;0,0082818743315515;1,53448444723964;3,74089569557186;23,1434501454195;4,49286033779098;67,0800274996465;5213164194,35;21029180;7958330;2
"17";"Minas Gerais";31;28188409;19371750;6479323;16629603;3173019;43796023;21984917;5489327;2345070;13279633;1836353;605304;262131;163431;62752685;28475837;228433;345209;166431;158986;449340;170781;550148;64607;0,0163483835202969;9,73927168395184;5,65631881442446;10,1500226010633;19,0605909967269;55,3774475203132;20941437479,04;59780233;11857908;2
"18";"Espírito Santo";32;2452878;1473072;171794;2087900;207837;6576169;2501384;1445773;321781;1398120;357258;107386;29154;24314;10098935;6002153;74636;85524;66026;25321;112946;45062;100233;46775;0,0025135191814845;1,32443882678979;0,290934381084697;0;39,1493398679004;59,2327734050437;1846310246,97;7614989;1771789;1
"19";"Rio de Janeiro";33;1816901;1562220;199584;658246;57345;1981860;283995;180261;81323;328388;160571;65091;12843;10748;3984195;846118;1213;31843;15797;16075;44564;15146;54417;16601;0,123463506283967;12,310326617697;0,382597550101902;0;5,17763884171196;82,0059734842052;411777270,5;2982761;1250671;3
"20";"São Paulo";35;13836724;4773687;7829616;14031717;4345564;53446571;37106927;9270922;3124575;18384830;833195;187848;262119;175459;55235528;33701329;133462;112579;76851;77211;201293;71961;166090;33589;0,0516716743325449;33,462400713862;2,25830739285081;3,81355880860886;1,85839800030874;58,5556634100371;19309333735,51;60124002;19562572;2
"21";"Paraná";41;11461132;4016635;7935569;13189498;4115533;34152080;22657954;5570114;1787991;15818649;846642;304221;302926;166393;47418325;27470422;21772;209006;189364;137499;386582;85735;271720;16574;0,211246834544293;3,8941229025158;8,87464647480652;29,2108548505432;0,703229652332379;57,1058992852579;27124199497,69;48585374;10041831;2
"22";"Santa Catarina";42;4447198;1837195;2022881;4832430;838741;12480359;4723447;1975077;1165297;3403246;501811;182489;176614;108375;20641296;8000123;21561;142146;129372;94863;209435;48261;170809;16214;6,13970617020093;0,497097443184347;8,68501184022617;17,0664545617644;0;67,6117299846241;10884978077,08;19281732;5792085;1
"23";"Rio Grande do Sul";43;18260598;9176761;11301320;13820714;4309289;33050789;21133696;5269588;2287768;13757221;992413;364193;449915;242274;53768624;34544034;23855;302741;256213;182283;445215;99860;337422;26430;10,6080286557296;0,154542368084403;3,88710994768239;27,9144381432209;0;57,4358808852827;23722585117,16;54250540;10540412;2
"24";"Mato Grosso do Sul";50;23441497;18439834;4823426;6431584;1910042;20194917;11181004;2909143;1177244;7892125;254971;70962;83922;53439;32849624;14763754;67677;21692;15608;22598;47426;15588;65606;2574;0,229135358157004;11,1410939489315;9,57363744636375;27,5799867531963;0,00888283380581614;51,4672636595457;9515437231,57;26874588;3614581;4
"25";"Mato Grosso";51;33969690;23011251;17712901;16382383;6451737;38440178;27970035;5859364;2486328;19480364;422453;118433;118022;71132;58190324;42378955;22539;25685;48090;21998;44341;18268;106063;4744;0,50703001594114;1,64164018831986;8,71685304506568;34,7860925269514;0,0487627546175206;54,2996214691044;16464853917,6;58643756;4115654;4
"26";"Goiás";52;20493972;14991172;6334272;8739539;2390701;24482191;14350859;3623054;986601;9244288;490612;151906;110775;69060;39734142;21045163;4528;54564;36789;33419;74648;28985;139777;8191;0,249940303700175;13,02392404027;7,71611043461615;25,4395115501528;0,136307643406763;53,4342060278541;15316081431,31;38584611;4227251;4
"27";"Distrito Federal";53;179156;62108;128946;301650;69356;727853;311115;94855;40616;251280;21791;5240;4526;2980;1154053;467692;380;4428;2287;4035;8611;3186;5160;2726;0;0,171247406218904;16,5854655692434;19,2498283669014;0,553777085245725;63,4396815723906;179862716,97;1040071;189609;4
