;Rondônia;Rondônia;Rondônia;Rondônia;Rondônia;Rondônia;Acre;Acre;Acre;Acre;Acre;Acre;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Roraima;Roraima;Roraima;Roraima;Roraima;Roraima;Pará;Pará;Pará;Pará;Pará;Pará;Amapá;Amapá;Amapá;Amapá;Amapá;Amapá;Tocantins;Tocantins;Tocantins;Tocantins;Tocantins;Tocantins;Maranhão;Maranhão;Maranhão;Maranhão;Maranhão;Maranhão;Piauí;Piauí;Piauí;Piauí;Piauí;Piauí;Ceará;Ceará;Ceará;Ceará;Ceará;Ceará;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Paraíba;Paraíba;Paraíba;Paraíba;Paraíba;Paraíba;Pernambuco;Pernambuco;Pernambuco;Pernambuco;Pernambuco;Pernambuco;Alagoas;Alagoas;Alagoas;Alagoas;Alagoas;Alagoas;Sergipe;Sergipe;Sergipe;Sergipe;Sergipe;Sergipe;Bahia;Bahia;Bahia;Bahia;Bahia;Bahia;Minas Gerais;Minas Gerais;Minas Gerais;Minas Gerais;Minas Gerais;Minas Gerais;Espírito Santo;Espírito Santo;Espírito Santo;Espírito Santo;Espírito Santo;Espírito Santo;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;Paraná;Paraná;Paraná;Paraná;Paraná;Paraná;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Distrito Federal;Distrito Federal;Distrito Federal;Distrito Federal;Distrito Federal;Distrito Federal
Melancia;1270;904;960;1054;838;723;1522;1619;1381;1335;1332;1341;4070;4282;4362;3455;3045;3000;1804;1408;1835;1509;1530;1576;5686;4332;3982;3970;4313;4180;773;812;630;567;537;515;5515;7913;6369;7657;7716;5178;2577;1927;1681;1665;1473;1416;2869;2336;2373;2531;2667;2690;1438;1240;1605;2425;2497;2200;4993;8559;16019;15268;14988;15128;263;368;253;296;280;299;3199;3632;3619;4686;5276;3113;300;880;960;1100;1450;1453;91;219;186;144;125;132;13259;17953;14371;13239;13621;13440;1214;1452;1934;2055;1487;1720;242;499;410;293;401;383;-;40;-;-;5;3;10539;10554;10173;9498;9220;8577;4155;3831;3542;3507;3019;2738;2735;2545;2095;2052;2454;2359;15835;15464;14221;12761;12075;10927;1451;1633;1612;1224;1257;2119;2273;2369;1880;2090;2142;2047;6347;6857;5961;6190;5497;6370;4;3;3;3;3;3
Melão;-;-;-;-;5;-;-;-;-;-;-;-;12;4;4;2;-;10;6;21;12;20;20;38;11;10;8;8;8;8;-;-;-;-;-;-;38;33;42;28;31;23;19;17;15;14;15;14;950;885;938;779;1160;776;3242;2559;2664;2072;2862;2585;13183;13133;12872;12680;13669;13775;-;20;5;17;7;41;962;1137;1505;2044;1720;1459;108;73;74;78;87;90;-;-;-;-;-;-;2041;3077;2898;2520;3362;3304;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;14;22;11;5;5;351;336;318;294;264;251;55;67;73;70;67;67;1937;1884;1707;1534;1386;1323;61;30;22;30;21;39;173;126;163;163;139;138;-;-;-;-;-;-;-;-;-;-;-;-
Milho (em grão);166818;215716;185413;225372;246609;318460;36387;34850;30140;28970;29870;34105;3920;3638;3612;2890;3066;2882;5130;6625;9155;9621;13900;21373;198461;266993;226708;259122;320749;362071;1672;1679;1408;1248;1306;1338;161258;226619;217873;259121;316908;353551;334109;470456;412696;426096;455590;483152;483738;471678;480675;450951;467765;521923;475646;562831;570213;524476;538259;557785;36866;35404;44783;59896;58887;45473;83798;84454;100290;92791;97765;86374;222514;199008;185695;169246;178021;182855;29510;42199;33234;38627;38523;54308;172285;169462;145126;148624;152103;175237;620836;613214;638261;609846;594905;617726;1219262;1085791;1049785;1125265;1139726;1193535;13305;13122;13930;13130;12822;13787;2817;2763;2544;1784;1655;2019;866512;882763;861700;844611;810287;681655;2584083;2836152;2404747;2632187;2696231;2856885;360341;364414;332921;344237;342869;338887;740510;831221;706160;763097;751573;780142;1686337;1832510;1907544;1983941;1973409;2150745;3900268;4784837;4418507;5026449;5318762;5808096;1574541;1635950;1501508;1668937;1733660;1882705;70163;65334;63600;64000;61200;60000
Noz (fruto seco);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4;10;10;40;-;-;-;-;-;-;-;-;-;-;-;-;840;807;785;7;6;6;518;505;494;259;248;233;15;15;34;43;62;67;2148;2525;2569;3235;3399;3666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Palmito;1151;1193;257;370;-;-;-;100;170;160;160;92;12;-;-;-;-;-;-;-;-;-;-;-;575;575;520;220;220;225;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4843;3292;3268;3216;3239;3422;178;134;192;215;226;324;896;1029;1157;1174;1257;1255;409;783;603;593;626;610;9287;8435;10456;10921;10719;10770;1733;2246;1775;3405;3375;3283;3335;3380;5662;5620;5627;5678;-;-;-;-;-;-;-;9;10;42;42;36;986;1019;974;724;661;656;916;857;833;861;819;777;74;74;47;47;47;47
Pera;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;37;28;33;96;96;-;-;-;-;-;-;-;-;-;-;-;-;19;22;45;56;50;35;107;104;117;108;112;111;409;408;406;298;270;270;794;735;688;663;550;533;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pêssego;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;732;572;585;593;601;603;31;33;43;43;44;44;-;-;-;-;-;-;1556;1503;1569;1490;1491;1475;1083;1057;932;879;804;829;1520;1508;1337;1201;1222;1200;12468;12516;13140;11830;11424;11404;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pimenta-do-reino;88;67;106;107;117;99;-;-;-;-;-;-;9;10;9;15;12;7;-;-;-;-;-;-;16753;16289;15713;16409;16395;16322;-;-;-;-;-;-;-;-;1;-;5;5;37;33;30;19;13;12;-;-;-;-;-;-;-;3;-;-;-;-;-;3;15;15;15;1;86;75;79;79;79;73;-;-;-;-;-;-;181;300;273;271;319;288;-;-;-;-;-;-;1950;2261;2762;3069;3035;2973;23;39;129;222;282;290;6836;9706;15208;15784;17100;17921;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;13;17;8;4;3;-;-;-;-;-;-;-;-;-;-;-;-
Rami (fibra);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sisal ou agave (fibra);-;-;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;12;37;37;37;35;160;60;60;60;60;60;5640;5090;5280;5301;5542;5697;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;193277;94015;90026;93756;93376;94935;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Soja (em grão);246171;280103;300816;344551;392642;400459;100;127;480;1660;3280;6185;-;-;-;2500;2700;3000;24035;18725;37670;39930;49800;57277;433813;500385;557542;577764;643267;753781;15442;19050;18800;19476;20300;6715;845745;842160;898582;905281;962399;1171308;783654;817719;926656;977598;960900;1023541;563084;694947;711123;766044;757978;832063;-;-;80;-;450;1414;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;300;343;445;1066;3141;1224;3312;-;-;-;-;-;-;1536678;1583864;1603203;1585842;1622475;1699965;1472224;1542788;1509510;1627741;1695702;1935260;-;-;-;-;-;-;-;-;-;-;-;-;848839;946540;973124;1080541;1132965;1199351;5454739;5237389;5377897;5418814;5534843;5521183;660764;667892;673700;665548;664795;688980;5464084;5541860;5709084;5843533;5996371;6107620;2448330;2620857;2713062;2882107;3121522;3377042;9147863;9287302;9437888;9724213;9989649;10461712;3322522;3332208;3316568;3402810;3577700;3855277;70875;70000;71500;75000;74500;80000
Sorgo (em grão);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200;-;-;-;-;5270;5472;4485;20651;20251;20537;-;-;-;-;-;-;26038;12962;22708;26661;29145;38853;11319;91830;105608;10855;9885;10000;514;18074;14131;30248;20237;11224;-;-;-;400;1000;2900;750;979;435;425;425;420;-;-;-;-;-;-;20;2955;410;2545;3045;335;-;53;370;390;304;304;-;30;-;-;-;-;70257;64921;60800;62174;67257;69037;175238;201706;216660;235588;227610;211685;-;-;-;-;-;-;-;-;-;-;-;-;25639;24366;30774;64896;55086;76401;-;100;100;100;1698;3127;-;-;-;-;-;-;5089;4016;4825;4103;3161;1855;8840;11160;5909;10300;9737;31355;80000;82126;68460;59088;60796;49266;208560;230727;258275;285577;360672;363308;3494;5000;7200;5000;10000;9000
Tangerina;50;100;45;64;95;80;221;219;207;197;200;201;102;90;71;76;54;58;5;14;120;51;53;47;489;707;436;976;991;114;-;-;-;-;-;-;2;8;6;5;5;6;31;-;-;-;-;-;-;-;-;-;-;-;379;370;340;324;343;349;6;6;-;-;-;-;1936;1846;1845;1821;1812;1812;-;-;-;-;-;-;30;69;104;144;165;154;480;277;480;431;433;449;795;946;1007;1024;1303;1449;8545;9541;12216;11433;12498;12969;1299;1308;1329;1278;1365;1389;1220;1440;1450;1474;1460;1585;11049;10628;10819;11085;10676;10345;9502;8631;8639;8786;8875;9027;926;860;690;663;811;786;11403;11643;11571;11758;13175;13388;101;122;139;120;119;206;49;89;72;69;80;82;957;1180;1061;976;1010;1030;121;174;116;116;116;116
Tomate;184;139;206;240;162;157;-;-;-;-;-;-;18;6;22;31;34;34;246;122;118;130;120;162;254;242;238;208;210;212;-;-;-;-;-;-;-;-;-;-;-;-;189;197;220;222;184;170;132;141;176;157;158;186;2532;2575;2398;2436;2500;2332;161;138;180;245;203;171;331;405;609;487;454;595;1761;1503;1287;1577;1526;1464;111;106;124;158;139;147;22;-;52;120;148;251;7096;5057;4643;4715;4223;4784;10304;7556;7320;7041;6921;7336;2527;2532;2629;2583;2618;2503;2444;2550;2325;2132;2278;2310;14835;12125;11075;11221;10090;9818;3841;4194;3996;3800;3642;3602;2794;2709;2555;2468;2518;2507;2324;2283;1960;2120;2092;2041;77;67;71;47;47;41;243;227;184;169;177;183;11457;16307;14682;12313;11369;10690;413;328;350;350;350;350
Trigo (em grão);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3300;3229;4475;3000;3000;3032;81769;75052;71995;85578;94992;78059;-;-;-;-;-;-;-;-;-;-;-;-;103236;112086;109354;128577;142532;152475;1101814;944263;1099866;1035444;1117241;1154181;64325;51425;54841;48737;58367;96948;779045;691563;709558;760914;953832;1231978;20855;22893;20791;26844;34649;33330;-;-;-;-;-;120;12775;10535;17350;27605;26000;20503;420;1083;1900;2950;2500;3000
Triticale (em grão);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1250;1200;1200;1020;-;-;-;-;-;-;-;-;-;-;-;-;-;3730;2840;1510;2173;4093;3963;9408;8405;7788;6681;7428;30278;834;1100;430;180;50;100;3091;2899;2198;2730;2615;3925;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tungue (fruto seco);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;73;67;67;64;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Urucum (semente);2236;4065;3641;3343;1392;730;79;77;46;46;43;45;6;1;1;2;2;2;-;5;-;-;-;-;1248;1350;1318;1141;1015;977;-;-;-;-;-;-;-;-;-;-;-;-;53;26;22;-;3;-;-;-;-;-;-;-;69;68;70;80;81;82;-;-;-;-;-;-;433;428;413;405;377;355;113;108;112;97;87;69;-;-;-;-;-;-;-;-;-;-;-;-;1866;2196;2236;1904;1862;1907;719;478;550;755;904;1048;34;38;38;60;55;62;10;10;10;10;10;3;2749;3187;5468;5979;5656;5210;1069;1034;1084;1020;974;960;-;-;-;-;-;-;-;-;-;-;-;-;832;744;1162;1324;1040;830;249;119;200;291;272;270;-;-;-;-;-;-;-;-;-;-;-;-
Uva;27;25;30;30;26;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;-;-;-;-;-;10;10;8;1;5;4;36;36;21;23;26;19;2;2;3;3;2;2;132;132;132;132;130;130;6974;8437;8745;8806;8763;8838;-;-;-;-;-;-;-;-;-;-;-;-;2858;1961;1962;1926;2043;2486;830;895;1088;1213;1223;1299;154;196;198;188;212;198;16;17;17;20;19;20;7699;7348;7238;8023;8019;8639;4324;3888;3946;3638;3646;3583;4737;4426;4016;3955;3942;3937;49226;48397;46858;46671;46174;46350;9;8;7;6;5;5;56;50;53;53;52;52;146;71;100;106;91;93;63;68;57;57;57;57
Fonte: IBGE - Produção Agrícola Municipal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
