"";"Ano";"Município (Código)";"Município";"area_lavouras";"despesa_insumos";"despesa_lavouras";"CR_sicor";"pessoal_ocupado";"qtde_maquinas";"qtde_tratores";"receita_lavouras";"uso_adubos";"uso_agrotoxicos";"uso_assistencia_tecnica";"uso_corretivos";"producao";"pib_agro";"cluster"
"4476";"2017";"4211504";"Nova Trento - SC";1820,3;2892;7066;2773404,07;1150;351;350;19457;406;217;121;135;17237;12770;2
"4477";"2017";"4211603";"Nova Veneza - SC";8666,3;16470;34927;26106868,71;1238;790;474;52237;412;410;445;251;73152;47916;2
"4479";"2017";"4211702";"Orleans - SC";3430,9;41195;17895;21806562,61;3179;1110;683;41862;869;704;701;286;131103;104779;3
"4481";"2017";"4211801";"Ouro - SC";4741,8;16883;5970;35536716,47;1857;1071;484;8654;599;564;467;84;71319;52857;2
"4482";"2017";"4211850";"Ouro Verde - SC";11319,9;23946;26049;18540964,2;983;534;257;45955;275;277;217;119;70926;43680;2
"4486";"2017";"4212007";"Palma Sola - SC";9715,4;33602;18776;29447344,96;1598;465;209;23355;470;479;244;151;97200;56885;2
"4488";"2017";"4212106";"Palmitos - SC";9253,5;39948;19314;256900438,21;3845;1538;797;31575;1274;1283;1052;332;146885;157606;3
"4489";"2017";"4212205";"Papanduva - SC";22415,3;52397;68783;58422396,39;3123;1431;986;114974;1115;1092;824;491;154479;118361;3
"4490";"2017";"4212239";"Paraíso - SC";4818,9;15657;8343;14043279,97;1594;489;220;16017;574;567;321;135;52006;27383;2
"4491";"2017";"4212254";"Passo de Torres - SC";769,8;1933;2068;1443469,92;233;58;47;3803;71;41;30;14;8866;15763;2
"4494";"2017";"4212403";"Pedras Grandes - SC";1391,9;8670;6222;5588643,45;1061;316;207;12473;282;234;186;150;28776;62044;2
"4495";"2017";"4212502";"Penha - SC";126,4;1174;304;2819046,21;311;32;26;833;27;25;73;15;5880;41788;2
"4496";"2017";"4212601";"Peritiba - SC";2342,3;9164;1968;8337985,2;890;365;150;4518;342;230;198;58;31850;19294;2
"4500";"2017";"4212908";"Pinhalzinho - SC";4595,9;242397;12829;58407453,15;2051;644;353;19021;627;588;438;136;69748;45972;2
"4501";"2017";"4213005";"Pinheiro Preto - SC";2545,3;9939;13031;12254032,98;946;446;231;20161;176;172;152;71;33755;23807;2
"4502";"2017";"4213104";"Piratuba - SC";2533,9;6130;3160;8084116,27;1109;276;164;7725;416;387;237;58;28643;22547;2
"4504";"2017";"4213203";"Pomerode - SC";670,9;5768;2025;732026,6;1562;274;264;7751;517;245;326;42;17578;15295;2
"4506";"2017";"4213351";"Ponte Alta do Norte - SC";1063,6;1595;1529;3383860,16;332;112;75;3918;41;27;44;33;113038;48702;2
"4509";"2017";"4213609";"Porto União - SC";11598,8;19769;23024;17566085,15;3197;1272;756;39653;845;712;496;411;75855;67970;3
"4511";"2017";"4213807";"Praia Grande - SC";4094,3;7093;13165;12396026,93;762;316;224;23900;296;255;124;62;27124;21207;2
"4513";"2017";"4214003";"Presidente Getúlio - SC";4912,4;19110;17457;19020477,89;2848;1322;756;30338;778;740;531;305;71866;45078;3
"4516";"2017";"4214201";"Quilombo - SC";8577,3;33655;21340;114535439,63;3045;818;457;26246;881;939;763;185;99220;69103;3
"4518";"2017";"4214409";"Rio das Antas - SC";6975;34627;19719;29184499,13;2575;1282;581;29806;560;511;374;209;116796;80185;3
"4521";"2017";"4214706";"Rio dos Cedros - SC";2268,4;7665;5917;2931631,85;1451;434;343;14855;381;353;291;77;26348;24890;2
"4522";"2017";"4214805";"Rio do Sul - SC";1976,3;8299;7169;134051071,78;1588;424;352;13072;444;424;221;108;27076;17505;2
"4524";"2017";"4215000";"Rio Negrinho - SC";11262,8;17674;27567;20224081,19;2411;1083;652;56108;632;469;154;349;82224;66692;2
"4525";"2017";"4215059";"Rio Rufino - SC";2150,7;5234;5734;12380708,4;883;285;203;18560;245;223;62;156;22019;21564;2
"4526";"2017";"4215075";"Riqueza - SC";3455,5;11062;8963;19939395,21;1951;346;207;12644;565;597;461;78;48010;30232;2
"4527";"2017";"4215109";"Rodeio - SC";1218,3;3244;4369;2074417,1;714;225;196;9949;237;283;176;59;11930;15355;2
