Município (Código);Município;Arrendamento de terras;Adubos e corretivos;Sementes e mudas;Agrotóxicos;Novas culturas permanentes e silvicultura;Formação de pastagens;Soma
1703305;Bom Jesus do Tocantins (TO);72;2806;2011;2571;-;498;7958
1703602;Brasilândia do Tocantins (TO);X;295;169;727;X;260;1451
1703701;Brejinho de Nazaré (TO);369;1913;1567;1934;-;X;5783
1703800;Buriti do Tocantins (TO);12;105;357;240;-;360;1074
1703826;Cachoeirinha (TO);-;238;154;115;-;385;892
1703842;Campos Lindos (TO);11048;26317;17532;26280;-;306;81483
1703867;Cariri do Tocantins (TO);3203;8417;3483;7391;-;1158;23652
1703883;Carmolândia (TO);X;120;16;59;-;53;248
1703891;Carrasco Bonito (TO);-;130;152;122;X;519;923
1703909;Caseara (TO);5191;12161;5239;35403;X;607;58601
1704105;Centenário (TO);X;2608;285;446;-;509;3848
1704600;Chapada de Areia (TO);X;301;23;166;-;141;631
1705102;Chapada da Natividade (TO);711;2549;905;1412;-;427;6004
1705508;Colinas do Tocantins (TO);222;624;333;1894;-;201;3274
1705557;Combinado (TO);100;163;73;106;-;67;509
1705607;Conceição do Tocantins (TO);95;95;96;3;X;242;531
1706001;Couto Magalhães (TO);135;2696;1221;1283;X;1194;6529
1706100;Cristalândia (TO);1491;4626;2664;4634;X;931;14346
1706258;Crixás do Tocantins (TO);605;4011;1539;2587;X;610;9352
1706506;Darcinópolis (TO);556;3981;2165;3634;26;181;10543
1707009;Dianópolis (TO);181;1204;709;511;13;817;3435
1707108;Divinópolis do Tocantins (TO);463;2752;595;463;-;2647;6920
1707207;Dois Irmãos do Tocantins (TO);17;4000;684;1789;92;1709;8291
1707306;Dueré (TO);3230;4955;2525;7185;-;1408;19303
1707405;Esperantina (TO);18;119;436;79;X;132;784
1707553;Fátima (TO);248;244;15;290;-;60;857
1707652;Figueirópolis (TO);2198;10869;5252;7127;-;467;25913
1707702;Filadélfia (TO);X;208;172;192;X;910;1482
1708205;Formoso do Araguaia (TO);8584;25845;11329;32592;X;3254;81604
1708254;Tabocão (TO);28;1494;338;720;-;X;2580
1708304;Goianorte (TO);X;1729;1288;1425;X;1399;5841
1709005;Goiatins (TO);125;5204;4161;4843;-;585;14918
1709302;Guaraí (TO);529;7629;3555;4682;-;720;17115
1709500;Gurupi (TO);3838;10410;3382;5854;9;1270;24763
1709807;Ipueiras (TO);126;474;396;252;-;88;1336
1710508;Itacajá (TO);452;6333;3731;4292;-;709;15517
1710706;Itaguatins (TO);23;226;343;460;-;352;1404
1710904;Itapiratins (TO);1188;6157;3647;7388;X;538;18918
1711100;Itaporã do Tocantins (TO);481;3332;343;3896;-;859;8911
1711506;Jaú do Tocantins (TO);166;882;1063;245;-;97;2453
1711803;Juarina (TO);X;266;38;402;-;365;1071
1711902;Lagoa da Confusão (TO);16716;48607;12294;49136;-;578;127331
1711951;Lagoa do Tocantins (TO);-;1544;550;1566;X;204;3864
1712009;Lajeado (TO);19;63;6;20;X;58;166
1712157;Lavandeira (TO);238;85;X;101;-;339;763
1712405;Lizarda (TO);X;1640;227;1006;-;859;3732
1712454;Luzinópolis (TO);X;84;12;45;-;312;453
1712504;Marianópolis do Tocantins (TO);587;5163;2336;5380;-;1454;14920
1712702;Mateiros (TO);511;15321;1997;20523;X;X;38352
1712801;Maurilândia do Tocantins (TO);X;111;466;236;-;183;996
1713205;Miracema do Tocantins (TO);715;4914;3533;3478;1;893;13534
1713304;Miranorte (TO);1055;5229;2099;3397;X;572;12352
1713601;Monte do Carmo (TO);5304;10436;5798;12035;X;630;34203
1713700;Monte Santo do Tocantins (TO);467;406;140;166;-;231;1410
1713809;Palmeiras do Tocantins (TO);64;532;134;150;X;215;1095
1713957;Muricilândia (TO);X;630;65;1230;X;1000;2925
1714203;Natividade (TO);77;394;230;44;-;484;1229
1714302;Nazaré (TO);X;209;75;112;X;150;546
1714880;Nova Olinda (TO);X;1647;1542;1804;-;303;5296
1715002;Nova Rosalândia (TO);1371;3133;2024;1193;-;65;7786
1715101;Novo Acordo (TO);X;2388;989;1779;-;227;5383
1715150;Novo Alegre (TO);32;147;151;72;X;187;589
1715259;Novo Jardim (TO);13;464;267;25;-;368;1137
1715507;Oliveira de Fátima (TO);2176;619;292;12;-;46;3145
1715705;Palmeirante (TO);664;10300;1224;3712;-;750;16650
1715754;Palmeirópolis (TO);231;3193;861;1328;-;2464;8077
1716109;Paraíso do Tocantins (TO);42;813;281;472;-;375;1983
1716208;Paranã (TO);50;906;381;97;X;1451;2885
1716307;Pau D'Arco (TO);866;1324;604;1921;-;657;5372
