Código (Município);Município;Produção de lavouras temporárias;Produção de lavouras permanentes;Soma
2102374;Cachoeira Grande (MA);6514;X;6514
2102408;Cajapió (MA);4195;-;4195
2102507;Cajari (MA);5586;123;5709
2102556;Campestre do Maranhão (MA);30975;37;31012
2102606;Cândido Mendes (MA);3562;X;3562
2102705;Cantanhede (MA);3532;X;3532
2102754;Capinzal do Norte (MA);2190;312;2502
2102804;Carolina (MA);76813;589;77402
2102903;Carutapera (MA);1889;444;2333
2103000;Caxias (MA);30315;737;31052
2103109;Cedral (MA);1938;61;1999
2103125;Central do Maranhão (MA);1378;-;1378
2103158;Centro do Guilherme (MA);333;X;333
2103174;Centro Novo do Maranhão (MA);772;X;772
2103208;Chapadinha (MA);32111;221;32332
2103257;Cidelândia (MA);5535;X;5535
2103307;Codó (MA);19042;257;19299
2103406;Coelho Neto (MA);54790;74;54864
2103505;Colinas (MA);4874;624;5498
2103554;Conceição do Lago-Açu (MA);2796;-;2796
2103604;Coroatá (MA);8210;242;8452
2103703;Cururupu (MA);1963;X;1963
2103752;Davinópolis (MA);1092;X;1092
2103802;Dom Pedro (MA);1158;1391;2549
2103901;Duque Bacelar (MA);1592;-;1592
2104008;Esperantinópolis (MA);3374;314;3688
2104057;Estreito (MA);3249;571;3820
2104073;Feira Nova do Maranhão (MA);9113;122;9235
2104081;Fernando Falcão (MA);15996;54;16050
2104099;Formosa da Serra Negra (MA);3994;74;4068
2104107;Fortaleza dos Nogueiras (MA);36574;163;36737
2104206;Fortuna (MA);1362;X;1362
2104305;Godofredo Viana (MA);1714;X;1714
2104404;Gonçalves Dias (MA);3256;X;3256
2104503;Governador Archer (MA);691;X;691
2104552;Governador Edison Lobão (MA);175;X;175
2104602;Governador Eugênio Barros (MA);7989;45;8034
2104628;Governador Luiz Rocha (MA);5030;X;5030
2104651;Governador Newton Bello (MA);434;X;434
2104677;Governador Nunes Freire (MA);2215;159;2374
2104701;Graça Aranha (MA);1801;X;1801
2104800;Grajaú (MA);65296;675;65971
2104909;Guimarães (MA);2406;X;2406
2105005;Humberto de Campos (MA);4966;X;4966
2105104;Icatu (MA);12658;X;12658
2105153;Igarapé do Meio (MA);903;-;903
2105203;Igarapé Grande (MA);746;X;746
2105302;Imperatriz (MA);2221;X;2221
2105351;Itaipava do Grajaú (MA);1958;228;2186
2105401;Itapecuru Mirim (MA);9935;95;10030
2105427;Itinga do Maranhão (MA);43020;17323;60343
2105450;Jatobá (MA);3888;X;3888
2105476;Jenipapo dos Vieiras (MA);3358;47;3405
2105500;João Lisboa (MA);1572;72;1644
2105609;Joselândia (MA);1021;1859;2880
2105658;Junco do Maranhão (MA);271;-;271
2105708;Lago da Pedra (MA);3020;202;3222
2105807;Lago do Junco (MA);658;61;719
2105906;Lago Verde (MA);1793;-;1793
2105922;Lagoa do Mato (MA);3489;45;3534
2105948;Lago dos Rodrigues (MA);2136;X;2136
2105963;Lagoa Grande do Maranhão (MA);X;X;NA
2105989;Lajeado Novo (MA);1593;3151;4744
2106003;Lima Campos (MA);2405;940;3345
2106102;Loreto (MA);195813;1328;197141
2106201;Luís Domingues (MA);1503;X;1503
2106300;Magalhães de Almeida (MA);5099;1446;6545
2106326;Maracaçumé (MA);356;69;425
2106359;Marajá do Sena (MA);579;X;579
2106375;Maranhãozinho (MA);1210;X;1210
2106409;Mata Roma (MA);37914;333;38247
2106508;Matinha (MA);4629;151;4780
2106607;Matões (MA);12684;578;13262
2106631;Matões do Norte (MA);1488;-;1488
2106672;Milagres do Maranhão (MA);15144;381;15525
2106706;Mirador (MA);25228;X;25228
2106755;Miranda do Norte (MA);599;-;599
2106805;Mirinzal (MA);4374;X;4374
2106904;Monção (MA);2665;X;2665
