;area_estabelecimentos;area_lavouras;area_producao;despesas_terra;qtde_estabelecimentos;pessoal_ocupado;salarios;pessoal_homens;pessoal_mulheres;qtde_tratores;qtde_maquinas;despesas_maquinas;uso_adubos;uso_corretivos;uso_assistencia_tecnica;uso_agrotoxicos;uso_conservacao;uso_irrigacao;uso_energia;despesa_insumos;intensidade_agrotoxico;despesas_estabelecimentos;despesas_outras;despesas_lavouras;receitas_lavouras;receitas_estabelecimentos;CR_sicor;producao;pib_agro_municipios
3508702;26869,1;11697,8;22357;25486;1262;4412;21433;3622;790;791;1018;7670;1063;606;632;632;971;48;1150;32793;0,63324637;75929;3413;55371;73413;1151;53071223,17;127915;84812,98
3508801;66644,6;42170,8;45685;96402;252;1644;25875;1390;254;422;604;55784;124;95;142;142;257;31;229;51734;5,31367629;216678;7014;180730;107922;243;43867958,08;191317;97479,35
3508900;10684,8;3460;5579;13550;188;440;842;337;103;55;97;NA;52;34;39;39;103;9;174;6909;168,93333333;17456;303;13411;3547;176;2027917,32;29538;18381,32
3509007;21,3;NA;62;845;18;90;884;68;22;NA;8;372;11;NA;8;8;21;9;12;NA;NA;6606;466;NA;NA;18;NA;1969;1876,43
3509106;47508,9;7046,7;6678;8399;658;1747;15541;1103;644;212;354;5478;214;146;369;369;556;78;648;13259;9,82677165;91081;3571;12169;10292;601;12356687,02;42579;24939,97
3509205;100,7;65,6;32;443;72;181;964;128;53;15;16;NA;53;16;33;33;103;46;18;532;NA;2005;39;142;33;70;40000;1420;195,21
3509254;14396;6316,3;11599;13276;519;1690;10472;1440;250;185;189;3217;240;184;75;75;158;31;326;12934;1,48296096;32377;932;27758;54534;482;3412425,77;71415;236014,47
3509304;15397,2;13722,6;15051;26343;179;621;16257;531;90;217;322;10885;133;86;87;87;172;32;141;15826;2,17261331;96975;36183;92107;88241;172;13286189,81;82843;28436,25
3509403;42098,9;27895,6;34558;9302;736;2207;13413;1786;421;420;511;6525;507;451;97;97;814;172;681;10113;0,76814688;40368;1244;20188;178511;698;18561358,68;120350;105636,52
3509452;11638,5;NA;11798;8342;135;344;2954;294;50;164;255;1758;69;34;41;41;116;12;106;9220;NA;17397;926;11863;32928;123;7183354,59;41168;20901,29
3509502;20922,3;5216,5;7501;21595;581;2942;37865;2220;722;605;724;13469;375;177;151;151;709;247;548;21351;4,02235180;98089;10255;38403;24188;544;69460073,9;85295;103182,6
3509601;58,7;NA;113;1116;15;149;2117;85;64;8;12;NA;12;7;6;6;25;8;13;1197;NA;4338;33;NA;NA;15;289397,6;35481;6544,33
3509700;468,3;40,1;568;237;34;101;922;79;22;7;7;NA;20;14;23;23;39;12;28;438;2,11111111;1675;50;313;1088;34;NA;49619;3880,86
3509809;27605,8;19306,9;26400;38446;191;688;4503;603;85;282;540;11414;145;110;122;122;238;9;184;37549;17,76573427;73561;261;55327;77881;190;33226021,83;110275;46180,04
3509908;16068,2;539,8;14257;800;105;419;1624;295;124;34;44;NA;44;26;21;21;103;14;78;877;0,60937500;3948;258;1576;4806;102;1264137,13;6889;33095,56
3509957;2065,6;247,3;19;711;41;117;604;102;15;21;37;NA;35;18;18;18;51;17;35;1260;NA;3012;247;NA;1431;40;139865,35;4384;1261,88
3510005;37055,9;35894,1;38721;75957;351;1200;6581;1060;140;667;1327;18502;335;228;304;304;867;24;292;73305;240,81707317;113484;4613;105767;174303;348;185009610,39;215591;104489,26
3510104;5514,4;5339,9;5793;5443;130;555;3643;422;133;211;276;1854;117;45;107;107;134;51;121;5046;1,18736264;12724;551;10380;36182;134;4662333,5;36221;44705,21
3510153;4838,2;NA;5671;4391;21;130;1779;110;20;40;88;NA;19;14;6;6;67;1;16;NA;NA;9242;494;8956;13990;18;49420,21;13791;11031,56
3510203;74434,5;28852,8;87731;86564;755;3174;36915;2412;762;952;1581;35051;612;446;272;272;809;280;682;73089;14,04563405;179039;9108;125640;155088;717;46253179,16;220490;126724,12
3510302;5452,5;3652,1;4298;8352;157;787;26503;579;208;146;210;9325;62;38;54;54;101;14;149;56277;1,60078023;352248;4397;24534;19668;153;2558078,18;97598;36620,69
3510401;18375,5;17313;17633;14495;133;1323;8019;1224;99;238;346;NA;85;57;77;77;202;16;110;23661;1308,50000000;50158;942;27756;67640;122;14792031,73;142653;68515,09
3510500;4842,9;197,8;541;1742;87;400;5882;317;83;54;71;950;52;39;44;44;82;33;71;2403;13,61538462;12845;253;241;486;86;1011769,64;7915;15623,23
3510708;33534,8;13611,2;18133;13894;262;621;3440;525;96;200;263;1880;95;87;97;97;196;14;260;43976;1,02973396;68692;478;15759;3439;200;25246694,07;48549;79428,93
3510807;58302,3;50967,9;66666;202045;500;3519;48530;2883;636;1071;1652;41095;401;269;281;281;636;202;425;137357;5,38932304;332984;8922;294348;364467;478;98663111,98;412437;191197,44
3510906;10837,6;5965,4;8852;6463;320;952;6334;798;154;222;392;3454;256;173;155;155;403;15;286;6882;0,71213323;23685;1741;13731;20564;304;12856640,7;37847;94947,14
