Municipio;Qtde;Principal
2206407;4702;Feijao
2206670;64800;Soja
2206704;5664146;Cana-de-acucar
2206902;603500;Cana-de-acucar
2206951;53400;Batata
2207009;515040;Soja
2207108;10500;Trigo
2207306;83748;Milho
2207355;7919;Feijao
2207405;4950;Mandioca
2207504;1530706;Cana-de-acucar
2207603;637500;Cana-de-acucar
2207793;16500;Trigo
2207801;70000;Laranja
2207959;650580;Cana-de-acucar
2208809;3080;Fumo
2208858;579150;Milho
2208874;5070;Mandioca
2208908;760950;Cana-de-acucar
2209005;730000;Cana-de-acucar
2209203;2684000;Cana-de-acucar
2209302;94647;Milho
2209401;86234;Soja
2209658;154674;Batata
2209856;665000;Cana-de-acucar
2209872;54920;Feijao
2209955;81400;Milho
2210201;5400;Mandioca
2210300;168960;Milho
2210375;252600;Soja
2210607;55860;Milho
2210904;14400;Mandioca
2211001;1125000;Cana-de-acucar
2211357;534300;Milho
2211407;667220;Cana-de-acucar
2211506;746428;Soja
2300200;9420;Mandioca
2300408;5200;Mandioca
2300507;15760;Mandioca
2300606;13800;Mandioca
2300754;1005000;Milho
2300804;2194640;Cana-de-acucar
2300903;40000;Mandioca
2301000;32130;Milho
2301109;204000;Milho
2301257;18000;Mandioca
2301307;66007;Milho
2301406;1320;Feijao
2301505;9075;Café
2301604;1326;Feijao
2301802;31320;Milho
2301851;117188;Soja
2301950;10650;Mandioca
2302107;70300;Soja
2302206;176520;Mandioca
2302305;9114;Mandioca
2302404;11880;Café
2302503;143676;Soja
2302800;86000;Mandioca
2303105;60636;Soja
2303402;19200;Mandioca
2303600;2160000;Cana-de-acucar
2303659;153600;Milho
2303709;61200;Laranja
2303808;5276;Café
2303907;18500;Mandioca
2304103;11500;Mandioca
2304236;10104;Mandioca
2304251;156000;Milho
2304269;12000;Mandioca
2304400;31680;Café
2304608;10800;Mandioca
2304806;6000;Mandioca
2305001;199800;Milho
2305209;26160;Mandioca
2305233;99420;Mandioca
2305332;1360000;Cana-de-acucar
